报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,270467036.83,270467036.83,,,,,,266971390.32,179454074.2,,,,,,,,,1568845.54,29196734.7,13201171.79,42429174.39,1121389.7,,,-5590866.31,-7521314.43,,,,-150000.0,,,,1975016.46,264204.89,-8533111.31,,-50502.06,-8589611.82,104528.24,,31715.63,,-8516799.21,6900929.14,,-15417728.35,-15417728.35,,-15940972.47,,523244.12,,,,,,,,,,,,,,,,,,,,-15417728.35,-15940972.47,523244.12,-0.01,-0.01,定期报告,未审计,20260418,CNY,合并期末,2026-04-17T19:08:06
20251231,1456695180.57,1456695180.57,,,,,,1453520311.41,993215044.5,,,,,,,,,10813100.05,209903542.77,62408165.23,170139062.71,7041396.15,8248624.06,,8989551.42,-3422631.26,,,,-991605.11,,,,16123916.36,-82019295.98,-41242830.06,,-1319809.54,-97285203.75,1461010.7,,12447594.81,,-108271787.86,-28529433.84,,-79742354.02,-79742354.02,,-86770943.85,,7028589.83,3836586.2,3836586.2,3836586.2,,,3836586.2,,,,,,,,,,,,,,-75905767.82,-82934357.65,7028589.83,-0.07,-0.07,定期报告,是,20260418,CNY,合并期末,2026-04-17T19:08:06
20250930,933361099.9,933361099.9,,,,,,924557285.01,597835775.93,,,,,,,,,7428921.2,138890134.54,44659517.14,130751942.79,4990993.41,,,-5611429.67,,,,,696887.0,,,,8332691.64,-39614094.03,-50439259.34,,-1106666.5,-78938056.01,170271.32,,810695.24,,-79578479.93,3731302.95,,-83309782.88,-83309782.88,,-90613314.05,,7303531.17,,,,,,,,,,,,,,,,,,,,-83309782.88,-90613314.05,7303531.17,-0.07,-0.07,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T23:16:03
20250630,541751584.05,541751584.05,,,,,,550346873.92,344396228.76,,,,,,,,,4047420.94,78790407.05,30451487.37,89454516.53,3206813.27,,,-5591998.08,,,,,6088887.0,,,,5647128.33,-9455996.49,-14584768.88,,-839232.56,-27331270.55,108733.73,,336260.05,,-27558796.87,8995655.32,,-36554452.19,-36554452.19,,-41672066.31,,5117614.12,0.0,0.0,,,,,,,,,,,,,,,,,,-36554452.19,-41672066.31,5117614.12,-0.03,-0.03,定期报告,未审计,20250816,CNY,合并期末,2025-08-15T17:06:03
20250331,213777781.97,213777781.97,,,,,,228080766.61,143636697.06,,,,,,,,,1149051.14,35137266.84,10235096.9,36301434.52,1621220.15,,,-1331777.3,,,,,-382861.0,,,,2625284.71,-2207521.13,-20247831.55,,-5995.78,-35853686.69,84238.38,,152951.25,,-35922399.56,-780869.6,,-35141529.96,-35141529.96,,-36816724.8,,1675194.84,,,,,,,,,,,,,,,,,,,,-35141529.96,-36816724.8,1675194.84,-0.03,-0.03,定期报告,未审计,20260418,CNY,合并期末,2025-04-18T21:16:02
20241231,1242377698.24,1242377698.24,,,,,,1300940316.56,823193906.51,,,,,,,,,10166065.85,203356082.26,60681404.69,196029209.17,7513648.08,9729713.33,,-3075827.78,-8292760.35,,,,-1885953.99,,,,20806358.56,-342705280.61,-47778417.39,,2504985.68,-430696753.85,241219.57,,3847894.25,,-434303428.53,-39361538.36,,-394941890.17,-394941890.17,,-396034606.97,,1092716.8,10163452.46,10163452.46,10163452.46,,,10163452.46,,,,,,,,,,,,,,-384778437.71,-385871154.51,1092716.8,-0.3,-0.3,定期报告,是,20260418,CNY,合并期末,2025-04-18T21:16:02
20240930,696536337.84,696536337.84,,,,,,773442410.85,435652739.89,,,,,,,,,4117785.83,149639589.95,37925216.58,140518386.04,5588692.56,,,-1377441.58,,,,,-113072.14,,,,14962256.18,-29854921.92,-30178865.98,,-5065317.46,-128533435.91,671297.43,,2406845.8,,-130268984.28,-916247.08,,-129352737.2,-129352737.2,,-134454944.57,,5102207.37,-14164542.0,-14164542.0,-14164542.0,,,-14164542.0,,,,,,,,,,,,,,-143517279.2,-148619486.57,5102207.37,-0.1,-0.1,定期报告,未审计,20251030,CNY,合并期末,2024-10-23T19:42:04
20240630,493520769.13,493520769.13,,,,,,552672382.69,328441125.66,,,,,,,,,2468694.87,94601507.2,27028568.44,96863483.75,3269002.77,,,620933.69,,,,,,,,,9456536.42,-4089112.61,-7709406.57,,-4809377.22,-65682039.85,529494.47,,401830.3,,-65554375.68,-2259181.25,,-63295194.43,-63295194.43,,-66425856.21,,3130661.78,-22509016.55,-22509016.55,-22509016.55,,,-22509016.55,,,,,,,,,,,,,,-85804210.98,-88934872.76,3130661.78,-0.05,-0.05,定期报告,未审计,20250816,CNY,合并期末,2024-08-15T18:47:04
20240331,238357963.09,238357963.09,,,,,,263902124.9,160594639.23,,,,,,,,,1011798.62,44430663.81,11054432.87,45065848.93,1744741.44,,,-1923174.35,,,,,,,,,3245639.38,24450.69,-6670521.89,,-519.91,-30868287.89,90224.33,,331517.29,,-31109580.85,-1184488.05,,-29925092.8,-29925092.8,,-31321344.43,,1396251.63,-19672063.5,-19672063.5,-19672063.5,,,-19672063.5,,,,,,,,,,,,,,-49597156.3,-50993407.93,1396251.63,-0.02,-0.02,定期报告,未审计,20250419,CNY,合并期末,2025-04-18T21:16:02
20231231,1269630964.04,1269630964.04,,,,,,1403611501.85,950465456.73,,,,,,,,,7050684.37,193182773.47,56584244.03,180793862.47,15534480.78,18548133.07,,109098357.54,-63085507.68,,,,-29952877.2,,,,39320820.59,-407181078.68,-31734334.35,,-10714974.11,-465144624.02,1050782.83,,2331382.0,,-466425223.19,-17581184.87,,-448844038.32,-448844038.32,,-443005460.44,,-5838577.88,67754237.75,67754237.75,67754237.75,,,67754237.75,,0.0,,,,,,,,,,,0.0,-381089800.57,-375251222.69,-5838577.88,-0.33,-0.33,定期报告,是,20250419,CNY,合并期末,2025-04-18T21:16:02
