报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2008-12-31,10.21亿,False,6.19亿,False,277.27亿,False,0.5000,5.50,2.13,2.13,0.87,4.60%,20.54%,9.29%,9.05%,147.53,3.19,112.95,34.57,1.03,0.52,0.52,1.70,59.00%
2009-12-31,37.94亿,271.46%,33.35亿,438.90%,411.14亿,48.28%,1.7700,7.33,2.51,3.34,5.27,9.92%,23.43%,27.13%,22.74%,94.18,5.56,64.72,29.46,0.93,0.68,0.68,1.28,52.96%
2010-03-31,17.04亿,False,14.89亿,False,132.47亿,False,0.7500,False,False,False,1.25,13.52%,25.49%,False,9.26%,False,False,False,False,False,False,False,False,False
2010-06-30,24.21亿,False,21.76亿,False,252.65亿,False,1.0600,False,False,False,1.39,10.24%,22.85%,13.82%,False,False,False,False,False,False,False,False,False,False
2010-09-30,24.33亿,False,False,False,358.91亿,False,1.0692,False,False,False,False,7.57%,20.76%,False,False,False,False,False,False,False,False,False,False,False
2010-12-31,25.23亿,-33.48%,20.70亿,-37.93%,484.48亿,17.84%,1.1100,8.11,2.52,3.98,1.38,6.02%,19.14%,14.36%,13.67%,85.44,7.16,50.28,35.16,0.63,0.37,0.37,1.72,60.06%
2011-03-31,2.67亿,-84.35%,2.40亿,-83.91%,117.10亿,-11.60%,0.1200,7.95,2.52,4.09,1.30,2.77%,17.02%,False,1.43%,98.72,1.50,60.05,38.67,0.62,0.39,0.39,1.91,62.55%
2011-06-30,2.75亿,-88.63%,1.71亿,-92.13%,225.45亿,-10.77%,0.1200,8.53,2.97,3.96,1.98,1.75%,15.76%,1.43%,1.37%,107.41,2.74,65.72,41.68,0.64,0.38,0.38,1.90,62.55%
2011-09-30,3.53亿,-85.50%,2.15亿,False,343.34亿,-4.34%,0.1531,8.55,2.98,3.99,1.78,1.49%,15.85%,1.83%,1.75%,105.43,4.22,64.03,41.41,0.64,0.39,0.39,1.97,63.36%
2011-12-31,13.85亿,-45.13%,6.29亿,-69.62%,488.82亿,0.78%,0.6000,8.97,2.98,4.32,2.54,3.27%,17.18%,6.98%,6.55%,98.59,6.16,58.46,40.12,0.64,0.43,0.43,1.97,63.46%
2012-03-31,2704.00万,-89.86%,-6986.50万,-129.16%,117.34亿,0.20%,0.0100,8.99,2.97,4.33,1.34,0.46%,17.40%,0.13%,0.13%,102.87,1.40,64.11,38.76,0.63,0.40,0.40,2.00,63.73%
2012-06-30,1626.90万,-94.09%,-2.08亿,-221.70%,225.82亿,0.17%,0.0100,8.97,2.97,4.33,1.88,0.46%,15.66%,0.08%,0.08%,107.58,2.76,65.21,42.36,0.66,0.42,0.42,2.03,64.12%
2012-09-30,2088.10万,-94.08%,-3.83亿,-278.11%,331.09亿,-3.57%,0.0089,8.99,2.98,4.33,1.29,0.42%,14.70%,0.10%,0.10%,112.82,4.07,66.34,46.48,0.63,0.40,0.40,2.06,64.37%
2012-12-31,8137.70万,-94.12%,-4.84亿,-176.91%,468.54亿,-4.05%,0.0300,9.00,2.98,4.30,2.36,0.45%,14.30%,0.38%,0.38%,107.63,5.76,62.49,45.13,0.61,0.39,0.39,2.10,64.86%
2013-03-31,1.12亿,315.63%,4786.50万,168.51%,128.84亿,9.80%,0.0500,9.06,2.98,4.35,0.31,1.21%,15.94%,0.53%,0.53%,105.55,1.42,63.60,41.95,0.61,0.38,0.38,2.11,64.91%
2013-06-30,4.27亿,2524.24%,1.32亿,163.54%,260.41亿,15.32%,0.1800,9.17,2.98,4.48,0.98,2.06%,15.90%,2.00%,1.98%,110.53,2.75,65.50,45.03,0.62,0.39,0.39,2.19,65.79%
2013-09-30,4.65亿,2127.38%,8813.00万,122.98%,387.04亿,16.90%,0.1976,9.18,2.99,4.49,0.71,1.61%,15.61%,2.17%,2.15%,114.76,4.03,67.00,47.76,0.69,0.45,0.45,2.36,67.33%
2013-12-31,5.53亿,579.63%,-5693.00万,88.23%,528.63亿,12.83%,0.2300,9.22,2.99,4.47,1.03,1.47%,15.36%,2.58%,2.55%,110.11,5.75,62.62,47.49,0.68,0.46,0.46,2.37,67.46%
2014-03-31,1196.60万,-89.35%,-9349.30万,-295.33%,117.24亿,-9.00%,0.0100,9.23,2.99,4.47,-0.47,0.75%,17.01%,0.06%,0.06%,140.31,1.17,76.70,63.61,0.75,0.50,0.50,2.41,67.69%
2014-06-30,3.61亿,-15.52%,9346.60万,-29.40%,267.16亿,2.59%,0.1500,10.72,4.14,4.34,-0.22,2.10%,16.70%,1.53%,1.42%,136.64,2.57,70.11,66.53,0.82,0.56,0.56,2.29,66.94%
2014-09-30,3.89亿,-16.38%,-3.90亿,-542.49%,404.09亿,4.40%,0.1624,10.23,4.15,4.35,-0.65,1.53%,15.36%,1.65%,1.54%,139.86,3.78,71.48,68.39,0.79,0.54,0.54,2.39,67.87%
2014-12-31,4.34亿,-21.61%,-6.77亿,-1089.67%,581.96亿,10.09%,0.1800,10.24,4.16,4.30,0.02,1.27%,15.55%,1.84%,1.71%,132.97,5.40,66.66,66.31,0.77,0.53,0.53,2.57,69.26%
2015-03-31,1.21亿,910.75%,4038.70万,143.20%,152.83亿,30.35%,0.0500,10.30,4.16,4.35,1.59,1.00%,17.16%,0.48%,0.47%,155.14,1.22,73.99,81.15,0.75,0.49,0.49,2.48,68.49%
2015-06-30,4.67亿,29.38%,1.52亿,63.14%,315.82亿,18.22%,0.1900,10.44,4.16,4.48,1.22,1.98%,17.44%,1.82%,1.81%,161.67,2.25,80.17,81.50,0.76,0.45,0.45,2.55,69.11%
2015-09-30,19.61亿,404.32%,4.88亿,225.14%,484.94亿,20.01%,0.7873,11.02,4.16,5.08,-0.62,4.50%,17.74%,7.22%,6.77%,171.87,3.04,88.71,83.16,0.80,0.47,0.47,2.56,69.42%
2015-12-31,28.23亿,551.28%,12.07亿,278.16%,800.09亿,37.48%,1.1200,11.75,4.16,5.29,1.55,3.92%,16.87%,10.22%,8.74%,148.98,5.17,69.63,79.35,0.82,0.54,0.54,2.46,68.80%
2016-03-31,8.51亿,603.38%,7.95亿,1867.46%,202.85亿,32.74%,0.3200,11.84,4.17,5.62,-0.51,4.43%,19.06%,2.73%,2.57%,186.39,1.02,88.36,98.03,0.81,0.49,0.49,2.28,67.13%
2016-06-30,22.60亿,384.23%,20.67亿,1255.55%,449.50亿,42.32%,0.8700,12.53,4.17,6.16,-0.58,5.49%,20.83%,7.14%,6.49%,178.90,2.24,80.41,98.49,0.80,0.54,0.54,2.38,68.14%
2016-09-30,36.64亿,86.82%,34.64亿,609.77%,727.98亿,50.12%,1.3800,17.14,8.96,6.09,-1.04,5.46%,21.08%,9.23%,7.25%,181.75,3.43,78.82,102.93,1.06,0.73,0.73,1.57,59.21%
2016-12-31,50.52亿,78.94%,46.13亿,282.34%,1034.70亿,29.32%,1.8800,17.40,8.97,5.95,-0.68,5.30%,20.36%,12.91%,9.86%,182.46,4.97,72.37,110.10,1.00,0.72,0.72,1.75,61.81%
2017-03-31,6.06亿,-28.79%,4.46亿,-43.81%,210.46亿,3.75%,0.2000,17.67,8.97,6.15,-0.89,3.71%,21.00%,1.15%,1.17%,270.88,0.96,93.33,177.55,1.06,0.76,0.76,1.73,61.50%
2017-06-30,17.23亿,-23.75%,11.16亿,-46.03%,450.38亿,0.20%,0.5900,17.90,8.97,6.36,-1.27,4.81%,20.32%,3.33%,3.27%,265.54,2.02,89.09,176.45,1.06,0.77,0.77,1.84,62.81%
2017-09-30,27.91亿,-23.82%,19.69亿,-43.15%,739.33亿,1.56%,0.9600,18.40,8.97,6.73,0.26,4.68%,19.86%,5.34%,5.16%,256.09,3.16,85.46,170.63,1.01,0.73,0.73,1.96,64.26%
2017-12-31,40.66亿,-19.51%,29.87亿,-35.26%,1059.15亿,2.36%,1.4000,18.73,8.97,7.05,2.33,4.64%,19.01%,7.76%,7.39%,237.32,4.61,78.17,159.15,0.98,0.66,0.66,2.15,66.33%
2018-03-31,1.02亿,-83.09%,-3.29亿,-173.58%,247.38亿,17.54%,0.0200,18.75,8.97,7.52,-0.08,1.07%,17.14%,0.08%,0.19%,287.51,0.92,98.00,189.51,0.94,0.59,0.59,2.22,66.97%
2018-06-30,4.79亿,-72.19%,-6.73亿,-160.35%,541.51亿,20.23%,0.1300,18.45,8.98,6.95,-0.59,1.61%,15.93%,0.71%,0.88%,88.68,2.03,88.68,False,0.94,0.62,0.62,2.43,68.97%
2018-09-30,15.27亿,-45.30%,-1.65亿,-108.38%,889.81亿,20.35%,0.4900,18.54,8.98,7.32,2.44,2.41%,16.43%,2.65%,2.80%,248.76,3.10,87.21,161.55,0.96,0.63,0.63,2.43,68.85%
2018-12-31,27.80亿,-31.63%,5.86亿,-80.39%,1300.55亿,22.79%,0.9300,18.80,8.99,7.51,4.59,2.73%,16.40%,4.96%,5.04%,216.50,4.71,76.49,140.01,0.99,0.60,0.54,2.43,68.81%
2019-03-31,7.50亿,631.98%,4.12亿,225.40%,303.04亿,22.50%,0.2500,19.29,8.99,7.76,0.15,2.93%,19.05%,1.33%,1.33%,241.68,0.89,100.96,140.71,1.02,0.61,0.53,2.42,68.74%
2019-06-30,14.55亿,203.61%,7.40亿,209.98%,621.84亿,14.84%,0.4900,19.17,8.99,7.79,-0.76,2.65%,17.14%,2.58%,2.57%,240.29,1.90,94.99,145.30,1.02,0.66,0.57,2.43,68.87%
2019-09-30,15.74亿,3.09%,5.87亿,455.83%,938.22亿,5.44%,0.5100,19.22,8.99,7.82,1.40,2.02%,16.04%,2.67%,2.77%,232.33,2.92,92.32,140.01,1.02,0.68,0.55,2.39,68.48%
2019-12-31,16.14亿,-41.93%,2.31亿,-60.64%,1277.39亿,-1.78%,0.5000,19.20,8.99,7.72,5.40,1.66%,16.29%,2.62%,2.84%,218.73,4.12,87.37,131.35,0.99,0.67,0.54,2.34,68.00%
2020-03-31,1.13亿,-84.98%,-4.72亿,-214.50%,196.79亿,-35.06%,0.0200,19.18,8.99,7.73,1.81,1.64%,17.66%,0.08%,0.20%,336.39,0.62,145.51,190.88,1.01,0.65,0.53,2.27,67.20%
2020-06-30,16.62亿,14.29%,9.16亿,23.75%,605.03亿,-2.70%,0.5600,20.28,9.66,8.21,5.70,3.94%,19.60%,2.84%,2.77%,229.40,1.82,98.73,130.67,1.07,0.70,0.58,2.18,65.99%
2020-09-30,34.14亿,116.83%,24.93亿,324.50%,1050.23亿,11.94%,1.1800,20.88,9.64,8.83,10.51,4.67%,20.75%,5.89%,5.71%,201.31,2.85,94.83,106.49,1.08,0.66,0.53,2.16,65.52%
2020-12-31,42.34亿,162.27%,29.54亿,1181.50%,1565.98亿,22.59%,1.4700,20.45,9.05,8.96,16.64,3.84%,19.38%,7.43%,7.45%,179.09,4.43,81.22,97.87,1.05,0.67,0.53,2.40,67.94%
2021-03-31,2.37亿,110.73%,-8165.10万,82.69%,409.92亿,108.31%,0.0800,28.18,17.31,8.62,0.05,1.25%,12.60%,0.31%,0.29%,170.27,1.07,84.41,85.86,1.24,0.78,0.63,1.66,60.23%
2021-06-30,11.74亿,-29.41%,3.69亿,-59.76%,908.85亿,50.22%,0.4100,28.40,17.31,8.79,3.38,1.99%,12.76%,1.50%,1.44%,159.12,2.23,80.69,78.43,1.15,0.69,0.54,1.64,59.94%
2021-09-30,24.43亿,-28.43%,8.86亿,-64.45%,1451.92亿,38.25%,0.8500,28.82,17.32,9.23,11.14,2.27%,12.97%,3.06%,2.96%,149.94,3.51,77.03,72.91,1.03,0.65,0.53,1.95,63.80%
