日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-31,300124,64.0,62.89,65.99,61.69,5123899,33061325701.0,6.71,-1.84,-1.18,21.7
2025-08-29,300124,62.98,74.53,75.86,62.38,8491886,58647645209.0,21.43,18.51,11.64,35.96
2025-09-30,300124,74.53,83.32,89.15,69.39,13847892,111502345179.0,26.51,11.79,8.79,58.4
2025-10-31,300124,84.3,76.51,90.5,75.5,7626903,61788053203.0,18.0,-8.17,-6.81,32.15
2025-11-28,300124,76.88,70.16,76.88,67.75,4642905,33400085320.0,11.93,-8.3,-6.35,19.57
2025-12-31,300124,70.43,74.83,76.19,69.48,6065120,44296356425.0,9.56,6.66,4.67,25.29
2026-01-30,300124,75.06,74.13,82.09,72.71,8140837,64217034561.0,12.54,-0.94,-0.7,33.94
2026-02-27,300124,74.02,72.42,78.09,72.32,3699156,27854388700.0,7.78,-2.31,-1.71,15.42
2026-03-31,300124,71.25,66.5,72.29,64.5,5588272,39034440276.0,10.76,-8.17,-5.92,23.3
2026-04-30,300124,68.0,68.1,69.91,59.63,6902293,45653005041.0,15.46,2.41,1.6,28.64
2026-05-29,300124,69.48,73.46,83.55,68.51,9385366,72168535662.0,22.09,7.87,5.36,38.94
2026-06-30,300124,73.5,66.33,77.63,62.01,8915924,62988877989.0,21.26,-9.71,-7.13,36.99
2026-07-03,300124,66.4,72.15,74.63,65.74,2145641,15058517644.56,13.4,8.77,5.82,8.9
