日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-31,300124,1455.66,1431.76,1498.51,1405.92,5123899,33061325701.0,6.35,-1.74,-25.41,21.7
2025-08-29,300124,1433.7,1682.38,1711.02,1420.78,8491886,58647645209.0,20.27,17.5,250.62,35.96
2025-09-30,300124,1682.38,1871.64,1997.16,1571.71,13847892,111502345179.0,25.29,11.25,189.26,58.4
2025-10-31,300124,1892.74,1725.01,2026.23,1703.27,7626903,61788053203.0,17.26,-7.83,-146.63,32.15
2025-11-28,300124,1732.98,1588.29,1732.98,1536.4,4642905,33400085320.0,11.4,-7.93,-136.72,19.57
2025-12-31,300124,1594.1,1688.84,1718.12,1573.65,6065120,44296356425.0,9.1,6.33,100.55,25.29
2026-01-30,300124,1693.79,1673.77,1845.15,1643.19,8140837,64217034561.0,11.96,-0.89,-15.07,33.94
2026-02-27,300124,1671.4,1636.95,1759.03,1634.8,3699156,27854388700.0,7.42,-2.2,-36.82,15.42
2026-03-31,300124,1611.76,1509.49,1634.15,1466.42,5588272,39034440276.0,10.25,-7.79,-127.46,23.3
2026-04-30,300124,1541.78,1543.94,1582.91,1361.57,6902293,45653005041.0,14.66,2.28,34.45,28.64
2026-05-29,300124,1573.65,1659.34,1876.59,1552.76,9385366,72168535662.0,20.97,7.47,115.4,38.94
2026-06-30,300124,1660.2,1505.82,1749.12,1412.8,8915924,62988877989.0,20.27,-9.25,-153.52,36.99
2026-07-03,300124,1507.33,1631.13,1684.53,1493.11,2145641,15058517644.56,12.71,8.32,125.31,8.9
