日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-04,300124,63.5,63.61,64.69,63.3,898470,5789187046.0,2.2,0.46,0.29,3.8
2025-07-11,300124,63.33,63.5,64.21,61.69,1034280,6531293962.0,3.96,-0.17,-0.11,4.38
2025-07-18,300124,63.8,64.69,65.7,63.2,1054932,6828094854.0,3.94,1.87,1.19,4.47
2025-07-25,300124,65.09,64.91,65.85,63.87,1375263,8977093540.0,3.06,0.34,0.22,5.82
2025-08-01,300124,65.4,62.91,65.99,62.38,1173527,7576735044.0,5.56,-3.08,-2.0,4.97
2025-08-08,300124,62.82,64.01,66.0,62.68,1304891,8503261683.0,5.28,1.75,1.1,5.53
2025-08-15,300124,64.02,66.84,67.1,64.02,1551842,10283428070.0,4.81,4.42,2.83,6.57
2025-08-22,300124,67.09,69.2,69.49,66.26,2236539,15266237121.0,4.83,3.53,2.36,9.47
2025-08-29,300124,70.5,74.53,75.86,69.56,3186064,23243163469.0,9.1,7.7,5.33,13.49
2025-09-05,300124,74.53,72.85,77.18,69.39,2643000,19464641037.0,10.45,-2.25,-1.68,11.18
2025-09-12,300124,73.01,79.18,84.95,73.0,3776270,30061896296.0,16.4,8.69,6.33,15.96
2025-09-19,300124,79.1,81.2,86.98,78.85,3443940,28579369963.0,10.27,2.55,2.02,14.56
2025-09-26,300124,81.2,81.04,89.15,80.25,3070106,25830112469.0,10.96,-0.2,-0.16,12.98
2025-09-30,300124,81.51,83.32,83.91,80.07,914576,7566325414.0,4.74,2.81,2.28,3.86
2025-10-10,300124,84.3,83.83,90.5,83.25,1653199,14516757530.0,8.7,0.61,0.51,6.97
2025-10-17,300124,79.85,77.09,82.97,76.97,2271396,18256268339.0,7.16,-8.04,-6.74,9.58
2025-10-24,300124,77.92,77.88,81.16,75.5,1692878,13316934647.0,7.34,1.02,0.79,7.14
2025-10-31,300124,78.57,76.51,79.23,76.45,2009430,15698092687.0,3.57,-1.76,-1.37,8.47
2025-11-07,300124,76.88,73.08,76.88,71.4,1445847,10682743717.0,7.16,-4.48,-3.43,6.1
2025-11-14,300124,73.18,70.59,73.74,70.59,1005727,7266651965.0,4.31,-3.41,-2.49,4.24
2025-11-21,300124,70.59,69.1,71.37,67.75,1070842,7570903288.0,5.13,-2.11,-1.49,4.51
2025-11-28,300124,69.5,70.16,70.92,68.4,1120489,7879786350.0,3.65,1.53,1.06,4.72
2025-12-05,300124,70.43,72.66,72.83,69.57,1376109,9878100840.0,4.65,3.56,2.5,5.8
2025-12-12,300124,72.94,73.4,74.98,71.81,1523974,11235263718.0,4.36,1.02,0.74,6.42
2025-12-19,300124,72.7,71.05,73.1,69.48,946366,6772563624.0,4.93,-3.2,-2.35,3.99
2025-12-26,300124,71.33,72.8,73.37,71.21,1101525,8035000960.0,3.04,2.46,1.75,4.64
2025-12-31,300124,72.95,74.83,76.19,72.5,1117145,8375427283.0,5.07,2.79,2.03,4.66
2026-01-09,300124,75.06,77.8,78.8,74.6,1889398,14727560865.0,5.61,3.97,2.97,7.88
2026-01-16,300124,78.64,80.35,81.65,76.51,2598163,20786133067.0,6.61,3.28,2.55,10.83
2026-01-23,300124,80.35,78.88,82.09,78.3,1796933,14418604609.0,4.72,-1.83,-1.47,7.49
2026-01-30,300124,79.0,74.13,79.95,72.71,1856344,14284736020.0,9.18,-6.02,-4.75,7.74
2026-02-06,300124,74.02,74.15,76.5,72.89,1261963,9473293895.0,4.87,0.03,0.02,5.26
2026-02-13,300124,74.86,74.62,78.09,74.4,1342412,10264676923.0,4.98,0.63,0.47,5.6
2026-02-27,300124,76.53,72.42,76.61,72.32,1094781,8116417882.0,5.75,-2.95,-2.2,4.56
2026-03-06,300124,71.25,70.97,71.92,67.12,1518993,10700278602.0,6.63,-2.0,-1.45,6.33
2026-03-13,300124,70.39,72.29,72.29,69.3,1451744,10328754591.0,4.21,1.86,1.32,6.05
2026-03-20,300124,71.0,68.25,71.98,67.25,1366598,9611597086.0,6.54,-5.59,-4.04,5.7
2026-03-27,300124,67.51,68.04,68.22,64.5,982516,6576189832.0,5.45,-0.31,-0.21,4.1
2026-04-03,300124,67.08,65.56,68.38,65.5,677931,4565285261.0,4.23,-3.64,-2.48,2.83
2026-04-10,300124,65.68,67.61,68.09,64.05,912109,6094235639.0,6.16,3.13,2.05,3.8
2026-04-17,300124,67.05,65.16,69.4,65.01,1527640,10308114116.0,6.49,-3.62,-2.45,6.37
2026-04-24,300124,65.5,64.25,66.69,63.13,1554736,10220610369.0,5.46,-1.4,-0.91,6.45
2026-04-30,300124,63.61,68.1,69.91,59.63,2498297,16282379821.0,16.0,5.99,3.85,10.37
2026-05-08,300124,69.48,74.5,75.71,68.51,1930885,14251714181.0,10.57,9.4,6.4,8.01
2026-05-15,300124,75.0,76.82,79.38,73.28,2594291,19846408279.0,8.19,3.11,2.32,10.76
2026-05-22,300124,76.92,78.49,80.25,75.19,2388000,18624506540.0,6.59,2.17,1.67,9.91
