报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,1922516955.94,,,,,,,,,,,40506551.53,80279741.19,2043303248.66,1301167676.09,,,,,,254640805.68,90034555.69,39825052.74,1685668090.2,357635158.46,,450600000.0,3136566.38,280000.0,,,,,454016566.38,101217090.83,851960597.22,,,,,953177688.05,-499161121.67,,,,127250000.0,,,127250000.0,251236944.84,18655893.18,,,269892838.02,-142642838.02,-23844947.9,-308013749.13,3210824948.6,,,,,2902811199.47,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T18:24:04
20251231,,8358325165.41,,,,,,,,,,,78923489.74,267849465.51,8705098120.66,7192323018.36,,,,,,866070286.75,130424562.53,163247674.5,8352065542.14,353032578.52,,1496918380.0,5922444.44,1409898.02,,,,,1504250722.46,466229732.52,1868483369.39,,,,,2334713101.91,-830462379.45,,85566521.2,1000000.0,2647800216.22,,,2733366737.42,500428998.39,455029683.02,625832.63,149217171.27,1104675852.68,1628690884.74,-11496571.99,1139764511.82,2071060436.78,3210824948.6,2071060436.78,,,3210824948.6,定期报告,是,20260326,CNY,合并期末,2026-03-25T18:06:10
20250930,,5252368076.68,,,,,,,,,,,54683207.63,220346107.64,5527397391.95,4836721519.43,,,,,,643361631.48,80797498.99,165523946.11,5726404596.01,-199007204.06,,869301880.0,2165490.4,959898.02,,,,,872427268.42,343806165.85,1176395597.13,,,,,1520201762.98,-647774494.56,,913522540.63,1000000.0,1435280388.73,,,2348802929.36,452580366.79,199913691.31,,2726188.23,655220246.33,1693582683.03,-2321573.27,844479411.14,2071060436.78,,,,,2915539847.92,定期报告,未审计,20251021,CNY,合并期末,2025-10-20T17:12:19
20250630,,3256724464.93,,,,,,,,,,,2339869.6,125773529.51,3384837864.04,3344461230.84,,,,,,424929405.91,56514328.43,107990576.85,3933895542.03,-549057677.99,,724301880.0,1535695.66,26000.0,,,,,725863575.66,320519274.94,1051001522.76,,,,,1371520797.7,-645657222.04,,85566521.2,1000000.0,833186225.75,,,918752746.95,335014700.0,161192834.27,,1932910.83,498140445.1,420612301.85,6482016.08,-767620582.1,2071060436.78,1303439854.68,2071060436.78,,,1303439854.68,定期报告,未审计,20250820,CNY,合并期末,2025-08-19T18:42:05
20250331,,1240386377.25,,,,,,,,,,,860355.7,50205040.6,1291451773.55,1346229534.67,,,,,,213909843.88,23731739.83,58022689.57,1641893807.95,-350442034.4,,204629829.21,490987.22,26000.0,,,,,205146816.43,165772751.52,558707027.98,,,,,724479779.5,-519332963.07,,1000000.0,1000000.0,317811966.95,,,318811966.95,500000.0,8204705.16,,799186.43,9503891.59,309308075.36,3850455.38,-556616466.73,2071060436.78,,,,,1514443970.05,定期报告,未审计,20260429,CNY,合并期末,2025-04-27T16:02:49
20241231,,7209614883.05,,,,,,,,,,,139654026.32,227414564.88,7576683474.25,6126705540.79,,,,,,749051229.23,77502001.59,115478504.46,7068737276.07,507946198.18,,554999985.0,6497204.98,3390637.76,,,,,564887827.74,675102695.75,1551000000.0,,20911646.79,,5005035.42,2252019377.96,-1687131550.22,,197530701.53,,928180522.22,,,1125711223.75,530905194.96,498128458.35,1785156.16,5109928.85,1034143582.16,91567641.59,1952022.39,-1085665688.06,3156726124.84,2071060436.78,3156726124.84,,,2071060436.78,定期报告,是,20260326,CNY,合并期末,2025-03-28T23:05:05
20240930,,5268401182.67,,,,,,,,,,,64817807.36,196527587.94,5529746577.97,4524509091.93,,,,,,554819889.96,58294423.02,185050154.71,5322673559.62,207073018.35,,138077344.07,1627162.25,326408.0,,,,,140030914.32,491842494.94,263253709.52,,,,,755096204.46,-615065290.14,,2343989.57,,844517077.14,,5242349.32,852103416.03,519238097.18,459581876.58,,2193585.46,981013559.22,-128910143.19,2223579.6,-534678835.38,3156726124.84,,,,,2622047289.46,定期报告,未审计,20251021,CNY,合并期末,2024-10-24T17:00:30
20240630,,3659047865.75,,,,,,,,,,,52789860.54,78124480.05,3789962206.34,2997954754.5,,,,,,365648786.39,43059426.68,52539625.51,3459202593.08,330759613.26,,22178074.38,6673.97,326408.0,,,,,22511156.35,433159416.73,95415000.0,,,,,528574416.73,-506063260.38,,3758211.68,,593063665.57,,,596821877.25,319238097.18,320200875.33,,3781082.31,643220054.82,-46398177.57,-4888761.23,-226590585.92,3156726124.84,2930135538.92,3156726124.84,,,2930135538.92,定期报告,未审计,20250820,CNY,合并期末,2024-08-28T16:55:06
20240331,,1348795410.16,,,,,,,,,,,33120333.0,56698717.64,1438614460.8,1763519572.34,,,,,,177523230.45,21705097.0,91048607.98,2053796507.77,-615182046.97,,,,281408.0,,,,,281408.0,231579077.28,17113492.97,,,,,248692570.25,-248411162.25,,,,173766241.6,,5242349.32,179008590.92,118283296.16,5399181.03,,45747.09,123728224.28,55280366.64,-1331125.79,-809643968.37,3156726124.84,,,,,2347082156.47,定期报告,未审计,20250428,CNY,合并期末,2024-04-26T16:55:05
20231231,,8208163195.43,,,,,,,,,,,78714268.33,242138566.55,8529016030.31,6304904000.81,,,,,,491889658.74,139219273.65,75237391.56,7011250324.76,1517765705.55,,,,2835638.86,,,,,2835638.86,805577066.34,134971722.06,,,,4333540.52,944882328.92,-942046690.06,,42843952.03,,1040086031.82,,,1082929983.85,1473317694.01,260625579.5,,164612457.05,1898555730.56,-815625746.71,-3751599.87,-243658331.09,3400384455.93,3156726124.84,3400384455.93,,,3156726124.84,定期报告,是,20250329,CNY,合并期末,2024-03-28T18:55:06
20230930,,5624297171.82,,,,,,,,,,,51492893.45,204230803.84,5880020869.11,4363629214.17,,,,,,435569355.58,89739280.77,174077034.35,5063014884.87,817005984.24,,,,1576391.18,,,,,1576391.18,366815585.16,32493041.42,,,,,399308626.58,-397732235.4,,14889710.13,,724045196.27,,181961094.85,920896001.25,1332678391.83,220656671.44,,,1553335063.27,-632439062.02,-764967.26,-213930280.44,3400384455.93,,,,,3186454175.49,定期报告,未审计,20241025,CNY,合并期末,2023-10-25T17:05:06
20230630,,3686106244.38,,,,,,,,,,,45246804.6,106135787.8,3837488836.78,2686461716.42,,,,,,299306454.17,42912168.58,29645597.99,3058325937.16,779162899.62,,,,563000.0,,,,,563000.0,201395673.3,18987868.53,,,,5759800.0,226143341.83,-225580341.83,,14889710.13,,521462728.91,,,536352439.04,918715996.5,26788354.68,,1993432.18,947497783.36,-411145344.32,5467900.37,147905113.84,3400384455.93,3548289569.77,3400384455.93,,,3548289569.77,定期报告,未审计,20240829,CNY,合并期末,2023-08-24T22:30:07
20230331,,1808687864.61,,,,,,,,,,,31825736.06,40351212.38,1880864813.05,1256102745.05,,,,,,154533295.69,24441471.58,28722602.87,1463800115.19,417064697.86,,342479.38,,995021.18,,1976.52,,,1339477.08,97273619.55,,,343960.0,,,97617579.55,-96278102.47,,2111895.33,,,,,2111895.33,37815000.0,10278402.75,,184135.2,48277537.95,-46165642.62,-11753175.87,262867776.9,3400384455.94,,,,,3663252232.84,定期报告,未审计,20240427,CNY,合并期末,2023-04-26T16:05:04
20221231,,5575798474.47,,,,,,,,,,,89246694.92,74681430.52,5739726599.91,4720502879.38,,,,,,482849840.02,157778072.63,68472648.43,5429603440.46,310123159.45,,428177741.44,495432.61,535687.04,,,,,429208861.09,582469903.15,601071177.96,,,,,1183541081.11,-754332220.02,,3450437703.49,,867168776.21,,,4317606479.7,1458457965.18,276851544.06,,146404447.97,1881713957.21,2435892522.49,153234086.41,2144917548.33,1255466907.6,3400384455.93,1255466907.6,,,3400384455.93,定期报告,是,20240329,CNY,合并期末,2023-03-30T18:55:02
20220930,,4081748934.7,,,,,,,,,,,62663299.92,143347901.28,4287760135.9,4191157448.03,,,,,,359340713.93,82415036.5,67959991.36,4700873189.82,-413113053.92,,147077566.77,-11591582.64,175687.04,,,,,135661671.17,427408748.09,294596850.89,,46245000.0,,,768250598.98,-632588927.81,,3349064462.13,,912179308.31,,,4261243770.44,1149532001.2,254751321.84,,63027016.86,1467310339.9,2793933430.54,161926774.99,1910158223.8,1255466907.6,,,,,3165625131.4,定期报告,未审计,20231026,CNY,合并期末,2022-10-25T16:20:09
20220630,,2470440852.04,,,,,,,,,,,42713060.24,79458710.78,2592612623.06,2839144388.37,,,,,,232867230.39,59495739.4,34994708.65,3166502066.81,-573889443.75,,78722814.77,8774145.95,103000.0,,,,,87599960.72,327721119.23,208936313.77,,,,,536657433.0,-449057472.28,,3288244632.08,,1043479076.91,,,4331723708.99,1164024415.57,210969094.42,,2454217.24,1377447727.23,2954275981.76,122641582.05,2053970647.78,1255466907.6,3309437555.38,1255466907.6,,,3309437555.38,定期报告,未审计,20230825,CNY,合并期末,2022-08-24T17:30:03
20220331,,1476334318.48,,,,,,,,,,,,40212217.01,1516546535.49,1788505311.21,,,,,,119213815.52,12749698.83,19657312.12,1940126137.68,-423579602.19,,6788631.77,2879990.1,,,,,,9668621.87,182515598.72,146800285.77,,,,,329315884.49,-319647262.62,,3385714914.08,,485023021.83,,,3870737935.91,274344954.95,12709647.74,,59032998.31,346087601.0,3524650334.91,-28788356.65,2752635113.45,1255466907.6,,,,,4008102021.05,定期报告,未审计,20230427,CNY,合并期末,2022-04-26T16:20:06
20211231,,3258920024.23,,,,,,,,,,,,117239632.58,3376159656.81,2719121327.42,,,,,,375810679.7,110848252.72,68587665.93,3274367925.77,101791731.04,,416509300.32,17721506.64,1492500.0,,,,,435723306.96,675837125.31,412431020.0,,,,,1088268145.31,-652544838.35,,556790535.88,,1297048012.68,,,1853838548.56,472870409.59,129299688.14,,33931086.01,636101183.74,1217737364.82,-4529011.41,662455246.1,593011661.5,1255466907.6,593011661.5,,,1255466907.6,定期报告,是,20230331,CNY,合并期末,2022-03-30T18:10:03
20210930,,2272811573.16,,,,,,,,,,,,57350348.44,2330161921.6,1770461897.37,,,,,,274590512.47,68670125.5,68296308.88,2182018844.22,148143077.38,,333000000.0,9220657.02,1010500.0,,500000.0,,,343731157.02,513708000.02,333000000.0,,,,,846708000.02,-502976843.0,,514226798.51,,816054340.4,,,1330281138.91,302560621.69,114892754.45,,30186908.35,447640284.49,882640854.42,-2404784.33,525402304.47,593011661.5,,,,,1118413965.97,定期报告,未审计,20221026,CNY,合并期末,2021-10-20T19:25:03
20210630,,1333346349.53,,,,,,,,,,,,33677673.57,1367024023.1,1145210140.37,,,,,,177882298.09,53276037.52,50144542.26,1426513018.24,-59488995.14,,313000000.0,4605821.02,1010500.0,,,,,318616321.02,301398151.66,313000000.0,,,,,614398151.66,-295781830.64,,514226798.51,,418925254.4,,,933152052.91,8784052.65,102551364.7,,2790204.88,114125622.23,819026430.68,-1554525.65,462201079.25,593011661.5,1055212740.75,593011661.5,,,1055212740.75,定期报告,未审计,20220825,CNY,合并期末,2021-08-27T21:20:03
20210331,,647500549.77,,,,,,,,,,,,21135320.83,668635870.6,520254168.92,,,,,,94674922.65,28888217.73,55154992.05,698972301.35,-30336430.75,,133000000.0,1965860.58,300000.0,,,,,135265860.58,179715725.85,133000000.0,,,,,312715725.85,-177449865.27,,514226798.51,,114850274.95,,,629077073.46,4970000.0,8715891.44,,2217105.76,15902997.2,613174076.26,-1638417.21,403749363.03,593011661.5,,,,,996761024.53,定期报告,未审计,20220427,CNY,合并期末,2021-04-23T22:15:03
20201231,,2172675610.69,,,,,,,,,,,,78716968.69,2251392579.38,1731984009.73,,,,,,271405767.17,49897876.0,42237768.57,2095525421.47,155867157.91,,839902452.57,5708630.65,5674500.0,,,,,851285583.22,183833999.53,839908786.65,,,,35680200.0,1059422986.18,-208137402.96,,54949392.0,,477431266.01,,,532380658.01,454686777.93,73770208.81,,1960000.0,530416986.74,1963671.27,-986570.31,-51293144.09,644304805.59,593011661.5,644304805.59,,,593011661.5,定期报告,是,20220331,CNY,合并期末,2021-03-18T19:35:02
20200930,,1304770020.74,,,,,,,,,,,,58889216.77,1363659237.51,1255522198.59,,,,,,192154266.34,35869527.74,33342589.01,1516888581.68,-153229344.17,,753076320.7,4285186.11,5514500.0,,,,,762876006.81,81862823.28,753082654.78,,,,35680000.0,870625478.06,-107749471.25,,54949392.0,,312560621.69,,,367510013.69,235877271.0,65476214.52,,1960000.0,303313485.52,64196528.17,404096.82,-196378190.43,644304805.6,,,,,447926615.17,定期报告,未审计,20211021,CNY,合并期末,2020-10-29T19:40:03
20200630,,834066142.11,,,,,,,,,,,,14538775.75,848604917.86,739794432.51,,,,,,121080184.17,26587326.33,16948182.63,904410125.64,-55805207.78,,613076320.7,3710638.17,5436000.0,,,,,622222958.87,43934064.45,613082654.78,,,,11410000.0,668426719.23,-46203760.36,,,,274991621.69,,,274991621.69,198000956.0,55749736.5,,1000000.0,254750692.5,20240929.19,1158459.48,-80609579.47,644304805.6,563695226.13,644304805.6,,,563695226.13,定期报告,未审计,20210828,CNY,合并期末,2020-08-09T16:10:03
20200331,,274264377.34,,,,,,,,,,,,8177980.04,282442357.38,320635183.44,,,,,,60011389.47,12594339.67,22386404.7,415627317.28,-133184959.9,,211100121.6,426532.8,1544000.0,,,,,213070654.4,24890780.37,253103321.6,,,,,277994101.97,-64923447.57,,,,172177569.04,,,172177569.04,35000000.0,5604770.01,,,40604770.01,131572799.03,313079.92,-66222528.52,644304805.6,,,,,578082277.08,定期报告,未审计,20210424,CNY,合并期末,2020-04-27T17:45:03
20191231,,1443404376.58,,,,,,,,,,,,64174124.59,1507578501.17,1173728445.94,,,,,,216956146.03,28726071.36,45329435.92,1464740099.25,42838401.92,,251028809.55,296061.22,1371027.98,,,,,252695898.75,119160836.54,254304169.38,,,,,373465005.92,-120769107.17,,,,845381692.07,,,845381692.07,452440000.0,68834737.28,,,521274737.28,324106954.79,1442687.19,247618936.73,396685868.86,644304805.59,396685868.86,,,644304805.59,定期报告,是,20210319,CNY,合并期末,2020-03-23T20:15:03
20190930,,967482241.47,,,,,,,,,,,,64551005.19,1032033246.66,827537815.67,,,,,,161141392.2,10290711.43,32583635.5,1031553554.8,479691.86,,65800054.43,91471.02,634027.98,,,,,66525553.43,100986896.56,59058681.38,,10000000.0,,50.0,170045627.94,-103520074.51,,,,177032531.0,,,177032531.0,211720000.0,63442694.14,,860000.0,276022694.14,-98990163.14,-568679.57,-202599225.36,396685868.86,,,,,194086643.5,定期报告,未审计,20201030,CNY,合并期末,2020-03-13T14:58:48
20190630,,674914300.18,,,,,,,,,,,,50918268.28,725832568.46,530428874.48,,,,,,110085307.36,2909563.82,69248453.58,712672199.24,13160369.22,,44692735.82,72734.8,345000.0,,,,,45110470.62,57178027.76,47692735.82,,,,,104870763.58,-59760292.96,,,,49156216.0,,,49156216.0,124720000.0,58463724.24,,,183183724.24,-134027508.24,-946194.58,-181573626.56,396685868.86,215112242.3,396685868.86,,,215112242.3,定期报告,未审计,20200810,CNY,合并期末,2020-03-13T14:58:48
