报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
1999-12-31,3.88亿,False,False,False,10.30亿,False,0.3100,1.53,0.31,0.15,0.84,37.66%,21.26%,12.15%,False,False,1.31,1.31,0.69,2.70,72.94%
2000-12-31,11.29亿,191.09%,False,False,22.78亿,121.12%,False,1.93,0.31,0.41,5.93,49.58%,31.54%,28.11%,False,False,1.17,1.17,0.59,4.87,82.95%
2001-12-31,6.30亿,-44.25%,False,False,19.01亿,-16.56%,0.3000,1.60,0.31,0.0060,-1.71,33.21%,16.48%,18.98%,12.44,12.44,1.17,1.17,0.75,4.61,82.18%
2002-06-30,1.61亿,False,False,False,4.26亿,False,0.0800,1.67,0.31,0.08,-0.99,37.70%,4.71%,4.60%,53.40,53.40,1.20,1.20,0.03,3.91,79.63%
2002-09-30,1.05亿,False,False,False,5.45亿,False,False,False,False,False,False,19.32%,False,False,False,False,False,False,False,False,False
2002-12-31,1.10亿,-82.52%,1.13亿,False,8.26亿,-56.53%,0.0500,2.06,0.81,0.0003,-2.67,13.32%,3.26%,2.15%,45.55,45.55,1.25,1.25,0.66,2.64,72.55%
2003-03-31,3394.24万,False,False,False,7235.50万,False,False,2.08,0.81,0.0100,0.29,46.91%,0.66%,0.66%,183.00,183.00,1.28,1.28,0.65,2.67,72.79%
2003-06-30,1.56亿,-3.08%,1.58亿,False,2.95亿,-30.79%,0.0630,2.12,0.81,0.06,-0.81,52.79%,3.00%,2.95%,194.11,194.11,1.53,1.53,0.11,1.65,62.29%
2003-09-30,1.57亿,48.95%,1.60亿,False,4.50亿,-17.53%,False,2.13,0.81,0.06,-1.21,34.89%,False,2.98%,97.10,97.10,1.73,1.73,1.05,1.17,53.87%
2003-12-31,3.65亿,232.03%,3.66亿,225.47%,8.16亿,-1.23%,0.1500,2.21,0.81,0.11,-0.78,44.78%,6.81%,6.67%,False,False,1.73,1.73,1.16,1.15,53.59%
2004-03-31,1651.23万,-51.35%,1638.50万,False,1.75亿,141.48%,False,2.22,0.81,0.12,0.96,9.45%,0.30%,0.30%,False,False,1.61,1.61,1.17,1.56,60.92%
2004-06-30,5652.30万,-63.67%,5577.06万,-64.69%,4.87亿,65.24%,0.0230,2.12,0.81,0.02,0.0031,11.61%,1.06%,1.07%,False,False,1.61,1.61,1.07,1.57,60.06%
2004-09-30,9428.58万,-39.90%,9407.63万,-41.05%,6.24亿,38.74%,False,2.14,0.81,0.04,0.20,15.11%,False,1.78%,False,False,1.60,1.60,1.05,1.48,58.79%
2004-12-31,1.66亿,-54.67%,9050.57万,-75.29%,8.14亿,-0.28%,0.0700,2.17,0.81,0.05,-0.26,20.36%,3.05%,3.08%,False,False,1.48,1.48,0.89,1.42,57.93%
2005-03-31,827.06万,-49.91%,1009.74万,-38.37%,6050.01万,-65.37%,False,2.17,0.81,0.05,-0.40,13.67%,0.15%,0.15%,False,False,1.72,1.72,1.13,1.14,52.39%
2005-06-30,6622.07万,17.16%,6768.32万,21.36%,1.89亿,-61.26%,0.0270,2.14,0.81,0.03,-0.29,35.11%,1.23%,1.25%,False,False,1.54,1.54,0.93,1.37,56.96%
2005-09-30,1.40亿,48.95%,1.41亿,50.13%,3.64亿,-41.67%,False,2.17,0.81,0.06,-0.15,38.59%,False,2.61%,False,False,1.39,1.39,0.91,1.42,57.85%
2005-12-31,4.00亿,141.45%,4.15亿,358.26%,9.18亿,12.83%,0.1600,2.28,0.81,0.12,1.44,43.56%,7.27%,7.09%,False,False,1.36,1.36,1.05,2.39,66.32%
2006-03-31,1.25亿,1412.81%,9430.41万,833.95%,4.68亿,672.84%,0.0500,2.31,0.81,0.16,0.27,27.94%,1.66%,1.64%,False,False,1.31,1.31,0.98,2.69,69.05%
2006-06-30,7.76亿,1071.59%,6.27亿,827.09%,19.76亿,947.57%,0.2600,3.55,2.06,0.20,5.80,43.30%,10.53%,5.94%,False,False,1.32,1.32,0.91,3.46,75.46%
2006-09-30,12.71亿,804.67%,9.40亿,565.31%,31.99亿,779.12%,0.4800,3.65,2.06,0.30,4.67,43.03%,False,8.68%,False,False,1.32,1.31,0.13,3.44,75.41%
2006-12-31,24.35亿,508.60%,23.63亿,469.79%,59.91亿,552.38%,0.8900,4.13,2.08,0.69,10.12,43.17%,26.34%,19.26%,False,False,False,False,False,4.01,78.31%
2007-03-31,12.54亿,902.52%,12.55亿,1230.75%,33.39亿,614.13%,0.4200,4.75,2.20,1.10,13.31,41.87%,False,8.86%,False,False,False,False,False,6.28,84.99%
2007-06-30,42.08亿,442.41%,42.14亿,571.51%,106.39亿,438.42%,1.4100,5.67,2.34,1.88,30.74,47.23%,29.06%,24.88%,False,False,False,False,False,8.59,88.23%
2007-09-30,83.63亿,558.22%,83.73亿,791.09%,193.52亿,504.89%,2.7700,14.24,9.89,2.92,31.63,48.85%,False,43.63%,False,False,False,False,False,3.44,76.53%
2007-12-31,123.89亿,408.84%,123.56亿,422.85%,308.62亿,415.30%,2.0000,15.56,10.01,3.14,20.42,43.88%,46.46%,24.01%,False,False,False,False,False,2.63,71.51%
2008-03-31,25.22亿,101.03%,25.25亿,101.21%,57.93亿,73.49%,0.3800,15.74,9.42,3.87,10.28,47.68%,False,4.77%,False,False,False,False,False,3.15,75.02%
2008-06-30,47.69亿,13.33%,47.80亿,13.44%,109.08亿,2.57%,0.7200,7.84,4.11,2.01,11.11,47.36%,8.93%,9.18%,False,False,False,False,False,3.45,76.89%
2008-09-30,58.98亿,-29.48%,59.09亿,-29.43%,139.01亿,-28.17%,0.8900,7.95,4.05,2.17,-1.94,46.22%,11.00%,11.19%,False,False,False,False,False,1.81,63.46%
2008-12-31,73.05亿,-41.03%,72.99亿,-40.93%,177.08亿,-42.62%,1.1000,8.33,4.21,1.98,-3.35,45.46%,13.49%,13.23%,False,False,False,False,False,1.44,57.98%
