报告日,经营活动产生的现金流量,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,拆出资金净减少额,融出资金净减少额,卖出回购金融资产收到的现金,证券投资收到的现金,买入返售金融资产收到的现金,代理买卖业务的现金净增加额,代理兑付证券净增加额,代理承销证券收到的现金净额,保证金现金流入,收到的资产管理业务,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,处置交易性金融资产的净减少额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,偿还拆入资金支付的现金,拆出资金净增加额,融出资金净增加额,回购金融资产支付的现金,买入返售金融资产支付的现金,证券投资支付的现金,代理买卖证券净减少额,代兑付债券支付的现金净额,保证金现金流出,为交易目的而持有的金融资产净增加额,以现金支付的营业费用,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产及其他长期资产收回的现金净额,处置子公司和其他营业单位收到的现金,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,吸收权益性投资所收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,,19983249765.85,-17886874209.4,,,10807453461.72,,,103627559943.22,,,,,,,60199736208.82,176731125170.21,,,7784749744.92,,,8620988560.15,,,,,,,12079519168.59,,,4671569333.1,3229963591.27,65183028553.15,101569818951.18,75161306219.03,,6927891077.39,63170129.22,443658.93,,69705133.79,7061209999.33,1585270543.09,244985975.59,,124000000.0,1954256518.68,5106953480.65,,4800000000.0,,,43785130942.13,109958506368.65,,158543637310.78,121994035033.0,6593100747.66,24000000.0,211424752.86,128798560533.52,29745076777.26,-228996148.97,109784340327.97,,,,,543359438935.85,653143779263.8201,定期报告,未审计,20260425,CNY,合并期末,2026-04-24T18:02:04
20251231,,38861542442.95,,67969944079.56,,,,13077174075.79,,,157023280146.24,,,,,,,149514034677.36,426445975421.9,,,26124591767.26,17753712289.19,,70268653748.25,,,,,,,,,,19571958263.85,12264262584.25,206358475503.14,352341654155.93994,74104321265.96,,305063839.59,106532122.82,4586847.1,90961805.2,122272594.0,629417208.71,6001666753.93,1494547333.62,,122000000.0,7618214087.55,-6988796878.84,,7500000000.0,,,204407076589.31003,319438392755.96,,531345469345.27,462702709118.22,12235408482.61,553121273.96,1324713030.03,476262830630.8601,55082638714.41,-617481063.62,121580682037.91,538363092392.52,421778756897.94,4996346543.33,,421778756897.94,543359438935.85,定期报告,是,20260327,CNY,合并期末,2026-03-26T20:02:06
20250930,,,,51465803498.15,-37900030411.89,,,55759048902.83,,,146107519380.91,,,,,,,114684277807.91,330116619177.91003,,,22261020239.19,,,54287785545.13,,,,,,,5281348541.29,,,14373555154.67,7002717799.14,170708131013.47,273914558292.89,56202060885.02,,38420176756.99,197048129.23,,,73743940.39,38690968826.61,3234188561.6,801658895.48,,122000000.0,4157847457.08,34533121369.53,,4000000000.0,,,202403678596.55,221065542140.08,,427469220736.63,380811156160.64,10347813995.83,508121273.96,927738509.38,392086708665.85,35382512070.78,-359587852.91,125758106472.42,,,,,421778756897.94,547536863370.36,定期报告,未审计,20251025,CNY,合并期末,2025-10-24T18:26:16
20250630,,,,31091313531.18,,,,11225096929.5,,,71439827351.21,,,,,,,61814817246.5,175571055058.39,,,13451519655.05,11509406353.73,,4863645298.79,,,,,,,3104823054.43,,,8083205575.95,4877146763.97,99334189178.6,145223935880.52,30347119177.87,,32298198261.19,43114832.96,,,162415217.63,32503728311.78,32462518.82,537548039.91,,122000000.0,692010558.73,31811717753.05,,3000000000.0,,,124253024153.61,98816552805.09,385892539.07,226455469497.77,240124051105.67,4288086923.33,455721273.96,537546023.96,244949684052.96,-18494214555.19,-52833087.32,43611789288.41,445914720465.32,421778756897.94,19475825721.03,,421778756897.94,465390546186.3501,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T19:12:04
20250331,,,,15219822027.11,-31182297826.42,,,56302849703.6,,,26882518886.94,,,,,,,26987240662.39,94210133453.62,,,7094369409.15,,,11364945600.65,,,,,,,64578496642.79,,,4431913634.67,1776701264.55,58323806305.43,147570232857.24,-53360099403.62,,26755115220.14,,6241850.99,,6241850.99,26761357071.13,,182901259.66,,60000000.0,242901259.66,26518455811.47,,3000000000.0,,,49014920699.58,46456010408.88,,98470931108.46,100008014389.53,2320327246.67,1216.54,300226829.82,102628568466.02,-4157637357.56,105911168.51,-30893369781.2,,,,,421778756897.94,390885387116.74,定期报告,未审计,20260425,CNY,合并期末,2025-04-29T17:52:08
20241231,,-2362684057.48,,56357830512.32,,,,128921837119.91,,,78498051243.02,,,,,,,46150577214.65,307565612032.42,,,23374912400.96,8060722394.12,,21211195567.94,,,,,,,2362684057.48,,,18347783932.59,7719772634.06,56288221547.35,135002608477.02,172563003555.4,,285577664.24,130370660.18,688559442.93,,132962750.76,1237470518.11,74147915565.58,1293351396.68,,60000000.0,75501266962.26,-74263796444.15,,14000000000.0,,,126109037390.19,241196279677.0,,381305317067.19,377214213110.3001,18557984692.59,587556400.0,895415284.97,396667613087.86,-15362296020.67,245088113.32,83181999203.9,421778756897.94,338596757694.04,,,338596757694.04,421778756897.94,定期报告,是,20260327,CNY,合并期末,2025-03-26T21:32:05
20240930,,,,39643004479.46,-25209951900.32,,,135999690345.97,,,93409051948.47,,,,,,,64017460009.1,307859254882.68,,,16008881977.89,,,-4318387414.05,,,,,,,54665140596.22,,,13573440704.35,4932387758.71,109382820957.77,194244284580.89,113614970301.79,,121703862.45,95864876.06,,,74696480.71,292265219.22,38469938381.37,679333111.47,,60000000.0,39209271492.84,-38917006273.62,,9000000000.0,,,87468750244.55,144201380647.35,,240670130891.9,251014190362.21,12979007532.47,558000000.0,646276708.6,264639474603.28,-23969343711.38,-194070978.63,50534549338.16,,,,,338596757694.04,389131307032.2,定期报告,未审计,20251025,CNY,合并期末,2024-10-29T16:52:03
20240630,,19416315199.97,,26912484050.63,,,4844300961.11,23355314685.23,,,5100957682.6,,,,,,,40020951298.87,95389707717.33,,,10886623724.17,13579715094.96,,-4844300961.11,,,,,,,-19416315199.97,,,7978593704.65,3501313199.48,46271639670.64,57957269232.82,37432438484.51,,95256553.21,,,,68216380.9,163472934.11,42546845135.4,454058770.99,,60000000.0,43060903906.39,-42897430972.28,,7000000000.0,,,43608412053.54,81727824695.46,,132336236749.0,144450496668.00998,3819213146.83,558000000.0,534860212.41,148804570027.24997,-16468333278.25,-163542817.6,-22096868583.62,316499889110.42,338596757694.04,,,338596757694.04,316499889110.42,定期报告,未审计,20250829,CNY,合并期末,2024-08-28T19:07:37
20240331,,,,12726892753.89,-39500086107.87,,,126438021680.45,,,15086383077.49,,,,,,,29418431603.92,144169643007.88,,,5561346542.86,,,-4143145915.37,,,,,,,39177384380.44,,,4446149764.28,2003677548.37,26629050830.16,73674463150.74,70495179857.14,,72187721.89,,,,5204766.85,77392488.74,36535769306.85,203981519.04,,,36739750825.89,-36662358337.15,,7000000000.0,,,21545097687.48,42610175584.15,,71155273271.63,70496901192.62,1856879306.52,28800000.0,195918979.33,72549699478.47,-1394426206.84,-125983394.29,32312411918.86,,,,,338596757694.04,370909169612.9,定期报告,未审计,20250430,CNY,合并期末,2024-04-26T16:52:03
20231231,,,,56039306978.57,23910639662.96,,,41003062907.46,,,4373152706.52,,,,,,,25376096562.12,126791619154.67,,,19546117279.76,-23910639662.96,,11382348239.34,,,,,,,82719692698.8,,,20852043929.75,10945256029.84,46093760339.57,167628578854.1,-40836959699.43,,893648769.82,103421026.88,41362574.79,,120250147.53,1158682519.02,17536930227.11,1579772709.99,,240000000.0,19356702937.1,-18198020418.08,,3000000000.0,,,107672044503.45,234636055032.66,,345308099536.11005,281435573059.27,14296620069.12,487178665.11,1294480374.21,297026673502.6,48281426033.51,398769399.21,-10354784684.79,338596757694.04,348951542378.83,,,348951542378.83,338596757694.04,定期报告,是,20250327,CNY,合并期末,2024-03-26T21:37:03
