报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,流动比率,速动比率,保守速动比率,产权比率,资产负债率
1999-12-31,4.82亿,False,False,False,72.64亿,False,0.1200,0.72,0.58,-0.91,False,6.63%,17.65%,16.72%,0.78,0.76,0.04,53.35,98.16%
2000-12-31,8.04亿,66.84%,False,False,87.38亿,20.29%,False,0.88,False,-0.13,1.78,9.20%,28.28%,21.81%,0.78,0.77,0.03,58.56,98.32%
2001-06-30,6.47亿,False,False,False,41.94亿,False,False,False,False,False,False,15.42%,False,False,False,False,False,False,False
2001-12-31,13.75亿,71.10%,False,False,86.49亿,20.08%,0.3400,1.22,False,0.21,4.36,13.64%,32.52%,27.97%,0.75,0.72,0.04,51.05,98.08%
2002-03-31,3.37亿,False,False,False,20.80亿,False,False,3.69,False,0.08,False,16.20%,False,2.17%,0.78,0.77,0.04,19.47,95.11%
2002-06-30,8.43亿,30.26%,9.00亿,False,44.21亿,7.12%,0.1800,2.82,1.62,0.16,1.23,20.36%,8.72%,5.68%,0.79,0.77,0.04,18.45,94.86%
2002-09-30,13.35亿,False,12.98亿,False,66.66亿,False,False,2.90,1.62,0.23,False,20.04%,False,8.08%,0.75,0.73,0.08,19.23,95.06%
2002-12-31,17.34亿,26.10%,17.12亿,False,95.69亿,10.64%,0.3300,2.81,1.62,0.09,5.96,18.12%,13.07%,10.82%,0.77,0.74,0.06,22.18,95.69%
2003-03-31,5.56亿,64.98%,False,False,28.17亿,35.44%,False,2.91,1.62,0.19,-1.85,19.73%,False,3.35%,0.72,0.72,0.04,22.46,95.74%
2003-06-30,11.08亿,31.51%,10.89亿,21.01%,60.12亿,36.00%,0.1900,3.00,1.62,0.29,-0.99,18.43%,False,6.46%,0.76,0.73,0.04,24.43,96.07%
2003-09-30,16.87亿,26.35%,16.90亿,30.23%,93.98亿,41.00%,False,3.10,1.62,0.39,-1.90,17.95%,False,9.52%,0.70,0.70,0.04,23.99,96.00%
2003-12-31,22.30亿,28.58%,22.29亿,30.16%,135.86亿,41.98%,0.3900,3.20,1.62,0.41,4.81,16.41%,12.79%,12.21%,0.76,0.74,0.03,26.59,96.38%
2004-03-31,8.10亿,45.75%,8.02亿,False,44.31亿,57.29%,False,3.25,1.62,0.46,-4.02,18.28%,False,4.37%,0.73,0.73,0.02,26.54,96.37%
2004-06-30,16.89亿,52.43%,16.68亿,53.12%,94.87亿,57.81%,0.2500,2.84,1.19,0.51,-1.68,17.80%,8.88%,8.69%,0.76,0.74,0.04,26.74,96.39%
