报告日,经营活动产生的现金流量,客户贷款及垫款净减少额,向央行借款净增加额,客户存款和同业存放款项净增加额,客户存款,同业及其他金融机构存放款,收回存放同业及其他金融机构净额,拆入资金现金流入,收回的拆出资金净额,吸收的卖出回购项净额,收回的买入返售项净额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,收到利息,收到的手续费,金融企业往来收入收到的现金,中间业务收入收到的现金,证券投资收益收到的现金,汇兑净收益收到的现金,存入保证金收到的现金,销售商品、提供劳务收到的现金,贵金属现金流入,收到的委托资金,贴现收到的现金,其他负债增加流入的现金,收回的已于以前年度核销的贷款及应收款项,已核销呆账贷款及利息收回,处置抵债资产收到的现金,其他营业及营业外净收入收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,存放中央银行,存放同业及其他机构存款,拆出资金净现金流出,偿还中央银行借款,支付的存款,减少同业及其他金融机构存放净额,偿还同业及其他金融机构拆入净额,偿还卖出回购款项净额,证券投资支出的现金,支付买入返售款项净额,处置可供出售金融资产净减少额,支付利息、手续费及佣金的现金,支付的利息,手续费支出支付的现金,支付给职工以及为职工支付的现金,以现金支付的营业费用,与金融机构往来支出的现金净额,贴现支付的现金,委托及代理业务减少额,贵金属现金流出,购买商品、接受劳务支付的现金,借入其他资金净减少额,其他资产减少支出的现金,为交易目的而持有的金融资产净增加额,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,分得股利或利润所收到的现金,取得债券利息收入收到的现金,处置固定资产、无形资产及其他资产而收到的现金,处置股权投资所收到的现金,处置子公司及其他单位收到的现金,取得子公司及其他营业单位所收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,投资支付的现金,权益性投资增加支付的现金,债券投资所支付的现金,购买子公司、联营企业及合营企业投资所支付的现金净额,增加在建工程所支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资所收到的现金,发行证券化资产所吸收的现金,取得借款收到的现金,发行债券收到的现金,发行次级债券收到的现金,增加股本所收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务所支付的现金,分配股利、利润或偿付利息支付的现金,偿付利息所支付的现金,支付新股发行费用,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期初现金及现金等价物余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,,6009000000.0,233730000000.0,123067000000.0,110663000000.0,,47668000000.0,,,,,86011000000.0,,,,,,,,,,,,,,,,,,122575000000.0,497597000000.0,186531000000.0,39325000000.0,,39325000000.0,13543000000.0,,,,,,,,,38313000000.0,,,20730000000.0,,,,,,,,,45291000000.0,10680000000.0,17335000000.0,371748000000.0,125849000000.0,,444699000000.0,24384000000.0,,,5727000000.0,,,,,474810000000.0,556195000000.0,,,,,5424000000.0,621000000.0,,562240000000.0,-87430000000.0,,,,,4477000000.0,,,4968000000.0,43572000000.0,13955000000.0,26778000000.0,1230000000.0,,4775000000.0,70242000000.0,-26670000000.0,-1106000000.0,10643000000.0,,,,,709822000000.0,720465000000.0,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T19:20:04
20251231,,,,950725000000.0,739543000000.0,211182000000.0,7383000000.0,26697000000.0,,,,,343377000000.0,,,,,,,,,,,,,,,,,,95590000000.0,1440419000000.0,414137000000.0,,,,75793000000.0,78832000000.0,,,,,,,,148791000000.0,,,67242000000.0,,,,,,,,,125996000000.0,47366000000.0,30805000000.0,988962000000.0,451457000000.0,,2270020000000.0,125561000000.0,,,13074000000.0,,638000000.0,,,2409293000000.0,2705121000000.0,,,,,28141000000.0,951000000.0,,2734213000000.0,-324920000000.0,,46991000000.0,,,54467000000.0,,,19529000000.0,202208000000.0,141751000000.0,61752000000.0,9989000000.0,,36936000000.0,372146000000.0,-169938000000.0,-3304000000.0,-46705000000.0,14808000000.0,16622000000.0,695014000000.0,739905000000.0,756527000000.0,709822000000.0,定期报告,是,20260328,CNY,合并期末,2026-03-27T22:26:03
20250930,,,,543404000000.0,422110000000.0,121294000000.0,2798000000.0,78898000000.0,,,,,251038000000.0,,,,,,,,,,,,,,,,,,34204000000.0,951786000000.0,258026000000.0,,,,111289000000.0,108541000000.0,,,,,,,,115378000000.0,,,44050000000.0,,,,,,,,,70612000000.0,33354000000.0,34402000000.0,775652000000.0,176134000000.0,,1210525000000.0,85899000000.0,,,15398000000.0,,29000000.0,,,1311851000000.0,1620895000000.0,,,,,15719000000.0,716000000.0,,1637330000000.0,-325479000000.0,,46991000000.0,,,41800000000.0,,,10382000000.0,195664000000.0,129446000000.0,55166000000.0,4399000000.0,,14363000000.0,338310000000.0,-142646000000.0,-676000000.0,-292667000000.0,,,,,756527000000.0,463860000000.0,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T18:14:04
20250630,,,,371320000000.0,325792000000.0,45528000000.0,9327000000.0,54999000000.0,,,,,174630000000.0,,,,,,,,,,,,,,,,,,74560000000.0,730917000000.0,254837000000.0,,,,58158000000.0,17759000000.0,,,,,,,,83681000000.0,,,31191000000.0,,,,,,,,,116107000000.0,23240000000.0,11483000000.0,596456000000.0,134461000000.0,,1172192000000.0,67112000000.0,,,6892000000.0,,29000000.0,,,1246225000000.0,1412699000000.0,,,,,7201000000.0,716000000.0,,1420616000000.0,-174391000000.0,,,,,86314000000.0,,,9982000000.0,131964000000.0,100123000000.0,2685000000.0,2388000000.0,,14363000000.0,153329000000.0,-21365000000.0,-311000000.0,-61606000000.0,14421000000.0,16622000000.0,680500000000.0,739905000000.0,756527000000.0,694921000000.0,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T19:26:03
20250331,,,48111000000.0,290734000000.0,222875000000.0,67859000000.0,22685000000.0,66756000000.0,,,,,83452000000.0,,,,,,,,,,,,,,,,,,18720000000.0,553348000000.0,244305000000.0,,,,25497000000.0,,,,,,,,,48965000000.0,,,15823000000.0,,,,,,,,,66929000000.0,10868000000.0,45935000000.0,458322000000.0,95026000000.0,,289062000000.0,28021000000.0,,,1666000000.0,,,,,318749000000.0,515015000000.0,,,,,3096000000.0,571000000.0,,518682000000.0,-199933000000.0,,,,,24156000000.0,,,9196000000.0,53716000000.0,80253000000.0,864000000.0,864000000.0,,,102371000000.0,-48655000000.0,-74000000.0,-153636000000.0,,,,,756527000000.0,602891000000.0,定期报告,未审计,20260429,CNY,合并期末,2025-04-29T18:28:04
20241231,,,,1132995000000.0,941149000000.0,191846000000.0,,,,,,24380000000.0,368373000000.0,,,,,,,,,,,,,,,,,,46353000000.0,1586961000000.0,432133000000.0,45739000000.0,,45739000000.0,114406000000.0,187678000000.0,,,62748000000.0,,,,,151582000000.0,,,62251000000.0,,,,,,,,,,52648000000.0,30753000000.0,1139938000000.0,447023000000.0,,2045080000000.0,113717000000.0,,,10757000000.0,,416000000.0,,,2169970000000.0,2427328000000.0,,,,,34930000000.0,571000000.0,,2462829000000.0,-292859000000.0,,29997000000.0,,,180564000000.0,,,9947000000.0,281970000000.0,150149000000.0,61031000000.0,10017000000.0,,11775000000.0,279821000000.0,2149000000.0,1195000000.0,157508000000.0,16622000000.0,14931000000.0,739905000000.0,584088000000.0,599019000000.0,756527000000.0,定期报告,是,20260328,CNY,合并期末,2025-03-25T19:05:06
20240930,,,,650835000000.0,577243000000.0,73592000000.0,,,,,,57155000000.0,269418000000.0,,,,,,,,,,,,,,,,,,29208000000.0,1063177000000.0,261492000000.0,12072000000.0,,12072000000.0,81635000000.0,116649000000.0,,,98207000000.0,,,,,104657000000.0,,,41681000000.0,,,,,,,,,,36490000000.0,23061000000.0,775944000000.0,287233000000.0,,1048323000000.0,82310000000.0,,,14967000000.0,,4000000.0,,,1145604000000.0,1240819000000.0,,,,,26055000000.0,235000000.0,,1267109000000.0,-121505000000.0,,,,,165357000000.0,,,10154000000.0,209582000000.0,114721000000.0,56519000000.0,6501000000.0,,,203366000000.0,6216000000.0,-498000000.0,171446000000.0,,,,,599019000000.0,770465000000.0,定期报告,未审计,20251030,CNY,合并期末,2024-10-29T18:50:03
20240630,,,,518126000000.0,507448000000.0,10678000000.0,,,,,,11114000000.0,199466000000.0,,,,,,,,,,,,,,,,,,18439000000.0,767343000000.0,270755000000.0,2352000000.0,,2352000000.0,57003000000.0,153643000000.0,,,38125000000.0,,,,,71817000000.0,,,30085000000.0,,,,,,,,,,24265000000.0,11118000000.0,659163000000.0,108180000000.0,,987445000000.0,61357000000.0,,,6257000000.0,,78000000.0,,,1055137000000.0,1091323000000.0,,,,,18575000000.0,261000000.0,,1110159000000.0,-55022000000.0,,,,,159095000000.0,,,1069000000.0,186405000000.0,63855000000.0,2870000000.0,2586000000.0,,7893000000.0,103952000000.0,82453000000.0,1276000000.0,136887000000.0,14836000000.0,14931000000.0,721070000000.0,584088000000.0,599019000000.0,735906000000.0,定期报告,未审计,20250830,CNY,合并期末,2024-08-29T19:10:03
20240331,,,,338539000000.0,284662000000.0,53877000000.0,43295000000.0,57880000000.0,,,,,89854000000.0,,,,,,,,,,,,,,,,,,41102000000.0,570670000000.0,321655000000.0,8822000000.0,,8822000000.0,46226000000.0,124203000000.0,,,,,,,,33345000000.0,,,17752000000.0,,,,,,,,,6313000000.0,9628000000.0,3934000000.0,571878000000.0,-1208000000.0,,512737000000.0,27274000000.0,,,5123000000.0,,,,,545134000000.0,533044000000.0,,,,,10971000000.0,,,544015000000.0,1119000000.0,,,,,160566000000.0,,,2095000000.0,175132000000.0,29781000000.0,1889000000.0,1889000000.0,,,45178000000.0,129954000000.0,195000000.0,130060000000.0,,,,,599019000000.0,729079000000.0,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T20:30:03
20231231,,,247751000000.0,619696000000.0,619696000000.0,,,67909000000.0,,,,,385108000000.0,,,,,,,,,,,,,,,,,,19448000000.0,1339912000000.0,482711000000.0,11509000000.0,5004000000.0,6505000000.0,7239000000.0,,,137158000000.0,,,,,,129904000000.0,,,62047000000.0,,,,,,,,,63803000000.0,56240000000.0,31548000000.0,982159000000.0,357753000000.0,,1954061000000.0,97963000000.0,,,4950000000.0,,154000000.0,,,2057128000000.0,2282035000000.0,,,,,30161000000.0,39000000.0,,2312235000000.0,-255107000000.0,,,,,123806000000.0,,,17303000000.0,207613000000.0,163730000000.0,56342000000.0,11226000000.0,,7210000000.0,280602000000.0,-72989000000.0,2164000000.0,31821000000.0,14931000000.0,15209000000.0,584088000000.0,551989000000.0,567198000000.0,599019000000.0,定期报告,是,20250326,CNY,合并期末,2024-03-25T20:25:03
