报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,20715842029.0,,,1211669130.0,,894772.0,7044709374.0,684513685.0,6360195689.0,5022722419.0,505136158.0,,,,,,,,,,,229446409.0,6746154078.0,,,,,758110335.0,42234684704.0,,,,,,,,407212538.0,,31663435.0,88338256.0,,,,,,,8309092329.0,,,,,18439139903.0,,,,,530721308.0,1859598034.0,,153707174.0,780043252.0,,504394686.0,,31103910915.0,73338595619.0,,9006553791.0,,,,,,5969596575.0,3542230748.0,2427365827.0,,736081278.0,,,646875868.0,646001872.0,,,,,,2064066199.0,,,,,,,,,,,,,,3827148041.0,688533113.0,23584856737.0,,7293169499.0,,,,297431846.0,,,48721156.0,,4192843.0,975829876.0,1107097846.0,889073991.0,10615517057.0,34200373794.0,,2609743532.0,,,,9700750924.0,,-190549950.0,,5020531741.0,,,22001069979.0,,,39141546226.0,-3324401.0,39138221825.0,73338595619.0,定期报告,未审计,20260422,CNY,合并期末,2026-04-21T18:12:03
20251231,,19273739706.0,,,10916122.0,,,8911375964.0,433533713.0,8477842251.0,2922909334.0,344054393.0,,,,,,,,,,169788769.0,169788769.0,6799040799.0,,,,,913594747.0,39345419834.0,,,,,,,,412927339.0,,31351699.0,88338256.0,,,36261499915.0,17939362389.0,18322137526.0,190438188.0,8296777029.0,8296777029.0,,18131699338.0,,18131699338.0,,,,,575777028.0,1799644828.0,,153707174.0,738515053.0,,488197108.0,,30716934852.0,70062354686.0,,7609694417.0,,,,,,7258632596.0,4199931921.0,3058700675.0,,718192991.0,,,1183628752.0,880791935.0,,,,,2078458743.0,2078458743.0,,,,,,,,,,,,,,5232452147.0,604338794.0,25566190375.0,,3669044516.0,,,,378561402.0,,48164622.0,48164622.0,,5032790.0,964817398.0,1094688074.0,783695119.0,6944003921.0,32510194296.0,,2609743532.0,,,,9700750924.0,,-64091453.0,,5020531741.0,,,20289530367.0,,,37556465111.0,-4304721.0,37552160390.0,70062354686.0,定期报告,是,20260422,CNY,合并期末,2026-03-17T18:32:06
20250930,,21863050111.0,,,12121790.0,,,9012243576.0,886010666.0,8126232910.0,2262968518.0,458260675.0,,,,,,,,,,,150707810.0,6635065119.0,,,,,485751382.0,40880168981.0,,,,,,,,417054699.0,,31039964.0,82682735.0,,,,,,,7817993380.0,,,,,17899026706.0,,,,,626855573.0,1590858834.0,,153707174.0,660348828.0,,482202489.0,,29761770382.0,70641939363.0,,6388422827.0,,,,,,7551559861.0,4487297056.0,3064262805.0,,719137615.0,,,1042791832.0,714930676.0,,2348769179.0,,,,4386996846.0,,,,,,,,,,,,,,5708112894.0,1040790559.0,27552743110.0,,4594370000.0,,,,404777305.0,,,47608088.0,,5759084.0,841943216.0,1029383912.0,696341844.0,7620183449.0,35172926559.0,,2609743532.0,,,,9700750924.0,,101886303.0,,4418068403.0,,,18643543710.0,,,35473992872.0,-4980068.0,35469012804.0,70641939363.0,定期报告,未审计,20251017,CNY,合并期末,2025-10-16T17:28:03
20250630,,18308379432.0,,,7889490.0,,,9367081104.0,1078642920.0,8288438184.0,2120650031.0,421823568.0,,,,,,,,,,138661255.0,138661255.0,6181028426.0,,,,,371219631.0,36916732937.0,,,,,,,,421024951.0,,30728228.0,82682735.0,,,35093052143.0,17199662729.0,17893389414.0,203252133.0,7027411115.0,7027411115.0,,17690137281.0,,17690137281.0,,,,,673829680.0,1595203017.0,,153707174.0,666558949.0,,453535381.0,,28794818511.0,65711551448.0,,7137937689.0,,,,,,6216140676.0,3444183976.0,2771956700.0,,746814468.0,,,843639807.0,595210287.0,,114398505.0,,,1971050754.0,2085449259.0,,,,,,,,,,,,,,4766660480.0,550781438.0,22942634104.0,,4236390000.0,,,,427379890.0,,47051553.0,47051553.0,,28288482.0,813812473.0,973837289.0,597246930.0,7124006617.0,30066640721.0,,2609743532.0,,,,9700750924.0,,188982790.0,,4418068403.0,,,18733170444.0,,,35650716093.0,-5805366.0,35644910727.0,65711551448.0,定期报告,未审计,20250820,CNY,合并期末,2025-08-19T17:28:09
20250331,,20454665901.0,,,7942325.0,,,8271808714.0,983743099.0,7288065615.0,2512325291.0,392139598.0,,,,,,,,,,,126151670.0,6090554974.0,,,,,251783362.0,38107371835.0,,,,,,,,464597532.0,,30416492.0,82682735.0,,,,,,,6719837455.0,,,,,17013077292.0,,,,,696097782.0,1594143146.0,,153707174.0,676088154.0,,444008938.0,,27874656700.0,65982028535.0,,5612295805.0,,,,,,5590535250.0,3232944604.0,2357590646.0,,778848746.0,,,634261672.0,615225720.0,,,,,,2080701723.0,,,,,,,,,,,,,,5419915601.0,84605342.0,20816389859.0,,4752060594.0,,,,460044675.0,,,54477339.0,,35726131.0,839488971.0,797782896.0,503915329.0,7443495935.0,28259885794.0,,2609743532.0,,,,9700750924.0,,345237042.0,,4418068403.0,,,20655737507.0,,,37729537408.0,-7394667.0,37722142741.0,65982028535.0,定期报告,未审计,20250418,CNY,合并期末,2025-04-17T18:20:11
20241231,,18784564004.0,,,7682574.0,,,8969464994.0,812397864.0,8157067130.0,1921465582.0,305455256.0,,,,,,,,,,126106574.0,126106574.0,5970614068.0,,,,,317730736.0,36403083788.0,,,,,,,,441494759.0,,30104757.0,82682735.0,,,32643024019.0,16002040892.0,16640983127.0,191446946.0,6509671375.0,6509671375.0,,16449536181.0,,16449536181.0,,,,,532127082.0,1600767546.0,,153707174.0,675941213.0,,375065926.0,,26851098748.0,63254182536.0,,4588583967.0,,,,,,5803094989.0,3007490592.0,2795604397.0,,807312590.0,,,972229163.0,600754415.0,,,,,2226134441.0,2226134441.0,,,,,,,,,,,,,,2850055339.0,140768878.0,17988933782.0,,7212920000.0,,,,343739268.0,,53855052.0,53855052.0,,34486563.0,819351754.0,704771184.0,410555755.0,9579679576.0,27568613358.0,,2609743532.0,,,,9700750924.0,,339806293.0,,4418068403.0,,,18625997091.0,,,35694366243.0,-8797065.0,35685569178.0,63254182536.0,定期报告,是,20260318,CNY,合并期末,2025-03-18T18:10:20
20240930,,19760594738.0,,,5296772.0,,,7540425298.0,329213575.0,7211211723.0,2042924086.0,409706819.0,,,,,,,,,,,154599216.0,6001898923.0,,,,,174430424.0,36089876276.0,,,,,,,,290488821.0,,29788833.0,91054345.0,,,,,,,5630006844.0,,,,,15994840819.0,,,,,541958276.0,1512051758.0,,154940513.0,606326529.0,,392499122.0,,25243955860.0,61333832136.0,,6244908322.0,,,,,,5229325229.0,2729773615.0,2499551614.0,,1160069927.0,,,843756222.0,419960166.0,,,,,,1964087155.0,,,,,,,,,,,,,,1639653755.0,302181055.0,17803941831.0,,8297200000.0,,,,354895841.0,,,53232766.0,,,770986243.0,667762371.0,,10144077221.0,27948019052.0,,2609743532.0,,,,9700750924.0,,61067430.0,,3931592517.0,,,17093281091.0,,,33396435494.0,-10622410.0,33385813084.0,61333832136.0,定期报告,未审计,20241018,CNY,合并期末,2024-10-17T17:05:12
20240630,,19478569617.0,,,4098732.0,,,7508884018.0,336245376.0,7172638642.0,2254000711.0,375444823.0,,,,,,,,,,174457788.0,174457788.0,5545159889.0,,,,,178341296.0,35518956874.0,,,,,,,,290022860.0,,29489662.0,91054345.0,,,31032005317.0,15301578023.0,15730427294.0,176013531.0,5346908703.0,5346908703.0,,15554413763.0,,15554413763.0,,,,,565011243.0,1527405301.0,,154940513.0,574552029.0,,451597057.0,,24585395476.0,60104352350.0,,7014422279.0,,,,,,5315563077.0,2733663821.0,2581899256.0,,1040276509.0,,,674250699.0,439681713.0,,74263635.0,,,1874982023.0,1949245658.0,,,,,,,,,,,,,,1401932900.0,300690182.0,18136063017.0,,8693400000.0,,,,359137822.0,,,52610480.0,,,700266771.0,546507827.0,,10351922900.0,28487985917.0,,2609743532.0,,,,9700750924.0,,272804933.0,,3931592517.0,,,15113102589.0,,,31627994495.0,-11628062.0,31616366433.0,60104352350.0,定期报告,未审计,20240807,CNY,合并期末,2024-08-06T16:20:09
20240331,,20631385380.0,,,4814502.0,,,6828838961.0,345912018.0,6482926943.0,2406504798.0,346299840.0,,,,,,,,,,,155659200.0,5459722168.0,,,,,174547168.0,36007772017.0,,,,,,,,297320165.0,,29190492.0,91054345.0,,,,,,,5157838289.0,,,,,15011191768.0,,,,,587784434.0,1301575736.0,,154940513.0,569270386.0,,456478430.0,,23656644558.0,59664416575.0,,6184462348.0,,,,,,5469244360.0,3021909100.0,2447335260.0,,1009669805.0,,,563297529.0,531912754.0,,,,,,1693693187.0,,,,,,,,,,,,,,175135599.0,,15627415582.0,,9595400000.0,,,,364743161.0,,,59972501.0,,,716010477.0,454185271.0,,11190311410.0,26817726992.0,,2609743532.0,,,,9700750924.0,,223973308.0,,3931592517.0,,,16394988909.0,,,32861049190.0,-14359607.0,32846689583.0,59664416575.0,定期报告,未审计,20240426,CNY,合并期末,2024-04-25T18:50:06
20231231,,18518172689.0,,,5740618.0,,,7496008772.0,367992386.0,7128016386.0,1314917637.0,316529520.0,,,,,,,,,,143819252.0,143819252.0,5143615319.0,,,,316416243.0,281151242.0,33536371292.0,,,,,,,,181538429.0,,28891321.0,91054345.0,,,29508934727.0,14378333619.0,15130601108.0,175358335.0,4766144830.0,4766144830.0,,14955242773.0,,14955242773.0,,,,,628448631.0,1315862480.0,,154940513.0,550875230.0,,421037651.0,,23094036203.0,56630407495.0,,5413589161.0,,,,,,5522986739.0,2825386573.0,2697600166.0,,979067305.0,,,816372688.0,546430527.0,,,,,1622250140.0,1622250140.0,,,,,,,,,,,,,,202102553.0,,15102799113.0,,8513100000.0,,,,407132248.0,,59287444.0,59287444.0,,,725121670.0,411644693.0,,10116286055.0,25219085168.0,,2609743532.0,,,,9700750924.0,,176931220.0,,3931592517.0,,,15007163446.0,,,31426181639.0,-14859312.0,31411322327.0,56630407495.0,定期报告,是,20250319,CNY,合并期末,2024-03-15T17:45:13
