日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-01,601100,71.97,70.5,71.97,70.2,56819,402688235.0,2.47,-1.67,-1.2,0.42
2025-07-02,601100,70.2,69.45,70.69,69.3,57444,402485152.0,1.97,-1.49,-1.05,0.43
2025-07-03,601100,69.28,67.63,69.28,66.16,194353,1310026439.0,4.49,-2.62,-1.82,1.45
2025-07-04,601100,67.28,68.83,69.58,67.2,99751,686303610.0,3.52,1.77,1.2,0.74
2025-07-07,601100,68.4,68.3,68.7,67.72,52648,359748151.0,1.42,-0.77,-0.53,0.39
2025-07-08,601100,67.7,71.76,71.98,67.6,131470,932482815.0,6.41,5.07,3.46,0.98
2025-07-09,601100,72.11,70.73,72.54,70.73,86457,619293213.0,2.52,-1.44,-1.03,0.64
2025-07-10,601100,70.78,69.9,70.86,68.58,95882,671871838.0,3.22,-1.17,-0.83,0.72
2025-07-11,601100,69.88,70.96,72.3,69.85,95790,684991523.0,3.51,1.52,1.06,0.71
2025-07-14,601100,71.62,71.52,72.28,70.63,80673,579500710.0,2.33,0.79,0.56,0.6
2025-07-15,601100,71.55,73.22,73.22,71.2,103000,751427186.0,2.82,2.38,1.7,0.77
2025-07-16,601100,73.22,76.0,76.6,72.36,167752,1267721734.0,5.79,3.8,2.78,1.25
2025-07-17,601100,76.0,76.0,76.38,75.21,74661,568357091.0,1.54,0.0,0.0,0.56
2025-07-18,601100,76.34,76.1,76.5,74.76,78604,596790023.0,2.29,0.13,0.1,0.59
2025-07-21,601100,79.27,77.29,79.63,75.26,103462,797101756.0,5.74,1.56,1.19,0.77
2025-07-22,601100,78.25,80.08,85.05,78.15,311821,2542847776.0,8.93,3.61,2.79,2.33
2025-07-23,601100,80.14,78.95,80.28,76.7,147830,1164588843.0,4.47,-1.41,-1.13,1.1
2025-07-24,601100,78.23,77.26,79.15,77.11,104276,814441772.0,2.58,-2.14,-1.69,0.78
2025-07-25,601100,76.94,75.33,77.4,74.9,130369,992634622.0,3.24,-2.5,-1.93,0.97
2025-07-28,601100,75.33,74.79,76.17,74.31,82226,618064452.0,2.47,-0.72,-0.54,0.61
2025-07-29,601100,74.9,75.5,75.94,74.58,81216,613811714.0,1.82,0.95,0.71,0.61
2025-07-30,601100,75.48,74.9,76.18,74.45,62654,473132554.0,2.29,-0.79,-0.6,0.47
2025-07-31,601100,74.54,73.3,74.83,73.02,98688,731366710.0,2.42,-2.14,-1.6,0.74
2025-08-01,601100,73.27,72.86,73.55,72.03,64960,474452706.0,2.07,-0.6,-0.44,0.48
2025-08-04,601100,72.5,73.64,73.93,72.26,62995,462886213.0,2.29,1.07,0.78,0.47
2025-08-05,601100,73.84,77.13,77.98,73.51,172231,1314099883.0,6.07,4.74,3.49,1.28
2025-08-06,601100,79.08,79.81,80.59,78.27,155597,1239891402.0,3.01,3.47,2.68,1.16
2025-08-07,601100,79.81,79.56,79.81,78.1,89017,706639896.0,2.14,-0.31,-0.25,0.66
2025-08-08,601100,74.9,77.83,78.9,74.9,185596,1440428017.0,5.03,-2.17,-1.73,1.38
2025-08-11,601100,77.84,76.98,79.2,76.95,85553,668511521.0,2.89,-1.09,-0.85,0.64
2025-08-12,601100,76.97,76.73,77.9,75.99,70930,546367162.0,2.48,-0.32,-0.25,0.53
2025-08-13,601100,76.92,75.9,76.92,75.44,89793,683255961.0,1.93,-1.08,-0.83,0.67
