日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-01,601100,238.19,233.63,238.19,232.69,56819,402688235.0,2.32,-1.57,-3.73,0.42
2025-07-02,601100,232.69,230.36,234.22,229.9,57444,402485152.0,1.85,-1.4,-3.27,0.43
2025-07-03,601100,229.83,224.71,229.83,220.14,194353,1310026439.0,4.21,-2.45,-5.65,1.45
2025-07-04,601100,223.62,228.44,230.77,223.37,99751,686303610.0,3.29,1.66,3.73,0.74
2025-07-07,601100,227.1,226.79,228.03,224.99,52648,359748151.0,1.33,-0.72,-1.65,0.39
2025-07-08,601100,224.92,237.54,238.23,224.61,131470,932482815.0,6.01,4.74,10.75,0.98
2025-07-09,601100,238.63,234.34,239.97,234.34,86457,619293213.0,2.37,-1.35,-3.2,0.64
2025-07-10,601100,234.5,231.76,234.74,227.66,95882,671871838.0,3.02,-1.1,-2.58,0.72
2025-07-11,601100,231.7,235.06,239.22,231.61,95790,684991523.0,3.28,1.42,3.3,0.71
2025-07-14,601100,237.11,236.8,239.16,234.03,80673,579500710.0,2.18,0.74,1.74,0.6
2025-07-15,601100,236.89,242.08,242.08,235.8,103000,751427186.0,2.65,2.23,5.28,0.77
2025-07-16,601100,242.08,250.72,252.58,239.41,167752,1267721734.0,5.44,3.57,8.64,1.25
2025-07-17,601100,250.72,250.72,251.9,248.26,74661,568357091.0,1.45,0.0,0.0,0.56
2025-07-18,601100,251.78,251.03,252.27,246.87,78604,596790023.0,2.15,0.12,0.31,0.59
2025-07-21,601100,260.88,254.73,262.0,248.42,103462,797101756.0,5.41,1.47,3.7,0.77
2025-07-22,601100,257.71,263.4,278.85,257.4,311821,2542847776.0,8.42,3.4,8.67,2.33
2025-07-23,601100,263.59,259.89,264.02,252.9,147830,1164588843.0,4.22,-1.33,-3.51,1.1
2025-07-24,601100,257.65,254.64,260.51,254.17,104276,814441772.0,2.44,-2.02,-5.25,0.78
