日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-04,601100,231.79,228.44,238.75,220.14,492882,3408735143.0,8.03,-1.45,-3.35,3.68
2025-07-11,601100,227.1,235.06,239.97,224.61,462247,3268387540.0,6.72,2.9,6.62,3.45
2025-07-18,601100,237.11,251.03,252.58,234.03,504690,3763796744.0,7.89,6.79,15.97,3.76
2025-07-25,601100,260.88,248.64,278.85,247.3,797758,6311614769.0,12.57,-0.95,-2.39,5.95
2025-08-01,601100,248.64,240.96,251.28,238.38,389744,2910828136.0,5.19,-3.09,-7.68,2.91
2025-08-08,601100,239.84,256.41,264.99,239.1,665436,5163945411.0,10.74,6.41,15.45,4.96
2025-08-15,601100,256.44,248.39,260.67,244.63,406658,3116712130.0,6.26,-3.13,-8.02,3.03
2025-08-22,601100,250.28,270.58,277.29,247.64,654976,5325645198.0,11.94,8.93,22.19,4.88
2025-08-29,601100,273.1,291.5,295.41,268.99,625934,5372760754.0,9.76,7.73,20.92,4.67
2025-09-05,601100,294.26,287.08,310.7,277.79,607141,5483580132.0,11.29,-1.52,-4.42,4.53
2025-09-12,601100,286.83,281.99,307.88,279.19,572525,5083404977.0,9.99,-1.77,-5.09,4.27
2025-09-19,601100,281.99,304.33,327.49,280.93,819722,7751238194.0,16.51,7.92,22.34,6.11
2025-09-26,601100,302.56,292.37,310.21,291.28,447756,4134338587.0,6.22,-3.93,-11.96,3.34
2025-09-30,601100,292.37,311.23,314.68,292.34,224126,2116244139.0,7.64,6.45,18.86,1.67
2025-10-10,601100,314.96,319.0,339.61,308.84,377693,3807543334.0,9.89,2.5,7.77,2.82
2025-10-17,601100,299.83,291.06,327.36,290.28,593754,5615897675.0,11.62,-8.76,-27.94,4.43
2025-10-24,601100,294.23,302.41,309.71,287.67,330002,3023391847.0,7.57,3.9,11.35,2.46
2025-10-31,601100,304.18,312.2,324.29,298.05,492757,4728886197.0,8.68,3.24,9.79,3.68
2025-11-07,601100,311.39,306.42,313.97,284.91,468988,4295435697.0,9.31,-1.85,-5.78,3.5
2025-11-14,601100,304.49,282.02,307.53,279.34,351439,3117878649.0,9.2,-7.96,-24.4,2.62
2025-11-21,601100,282.02,300.91,307.69,280.49,416196,3732517612.0,9.64,6.7,18.89,3.1
2025-11-28,601100,302.65,329.35,332.55,291.25,794204,7704499874.0,13.73,9.45,28.44,5.92
2025-12-05,601100,337.65,365.65,367.18,328.42,783727,8332807343.0,11.77,11.02,36.3,5.85
2025-12-12,601100,361.92,357.48,368.02,349.4,578302,6397125091.0,5.09,-2.23,-8.17,4.31
2025-12-19,601100,355.18,341.91,363.85,337.74,494212,5319252590.0,7.3,-4.36,-15.57,3.69
2025-12-26,601100,343.59,352.07,355.3,337.15,430653,4580311192.0,5.31,2.97,10.16,3.21
2025-12-31,601100,351.73,356.11,369.29,340.98,389625,4303967721.0,8.04,1.15,4.04,2.91
2026-01-09,601100,352.66,372.55,382.93,350.39,716613,8180814207.0,9.14,4.62,16.44,5.34
2026-01-16,601100,368.2,383.74,404.25,359.13,712149,8338769053.0,12.11,3.0,11.19,5.31
2026-01-23,601100,387.47,380.26,406.06,366.43,749189,8891618004.0,10.33,-0.91,-3.48,5.59
2026-01-30,601100,381.38,351.42,382.81,343.59,625257,6982921017.0,10.31,-7.58,-28.84,4.66
2026-02-06,601100,352.41,386.35,395.49,347.6,643918,7460757704.0,13.63,9.94,34.93,4.8
2026-02-13,601100,391.2,382.93,405.72,382.19,321014,3916041227.0,6.09,-0.89,-3.42,2.39
2026-02-27,601100,387.19,365.19,387.44,362.95,332540,3807332608.0,6.4,-4.63,-17.74,2.48
2026-03-06,601100,359.5,346.97,370.28,335.32,458902,4944073956.0,9.57,-4.99,-18.22,3.42
2026-03-13,601100,340.85,349.24,377.77,334.67,457476,5102104614.0,12.42,0.65,2.27,3.41
2026-03-20,601100,347.41,324.29,349.34,320.03,446523,4559894157.0,8.39,-7.14,-24.95,3.33
2026-03-27,601100,293.3,312.16,320.15,291.43,892239,8279403179.0,8.86,-3.74,-12.13,6.65
2026-04-03,601100,308.65,334.6,342.72,305.73,551646,5576242957.0,11.85,7.19,22.44,4.11
2026-04-10,601100,331.53,329.6,335.88,318.1,367568,3720256782.0,5.31,-1.49,-5.0,2.74
2026-04-17,601100,331.53,342.06,357.01,324.32,454930,4768634321.0,9.92,3.78,12.46,3.39
2026-04-24,601100,342.56,315.52,343.03,307.13,730661,7242951383.0,10.5,-7.76,-26.54,5.45
2026-04-30,601100,317.51,340.79,344.27,311.33,538172,5500290902.0,10.44,8.01,25.27,4.01
2026-05-08,601100,339.76,366.99,377.0,332.93,483302,5334719063.0,12.93,7.69,26.2,3.6
2026-05-15,601100,370.56,375.1,383.56,353.35,535957,6080718002.0,8.23,2.21,8.11,4.0
2026-05-22,601100,371.93,378.3,383.9,357.57,508306,5813849276.0,7.02,0.85,3.2,3.79
2026-05-29,601100,378.43,353.63,381.26,351.73,544881,6091789276.0,7.81,-6.52,-24.67,4.06
2026-06-05,601100,360.43,378.77,389.03,352.66,499070,5685037173.0,10.28,7.11,25.14,3.72
2026-06-12,601100,368.82,370.5,399.28,368.48,697374,8359907603.0,8.13,-2.18,-8.27,5.2
