报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2006-12-31,8.93亿,False,False,False,33.30亿,False,False,False,0.03,1.68,False,26.80%,False,False,3.68,78.65%
2007-12-31,12.43亿,39.25%,False,False,62.69亿,88.24%,False,False,0.03,2.29,False,19.82%,False,False,7.00,87.50%
2008-12-31,6.27亿,-49.52%,False,False,36.88亿,-41.17%,False,False,0.03,2.71,False,17.01%,False,False,5.10,83.60%
2009-12-31,11.45亿,82.45%,False,False,52.93亿,43.49%,False,False,0.06,3.52,False,21.63%,False,False,5.41,84.40%
2010-12-31,9.09亿,-20.57%,False,False,55.57亿,4.99%,False,False,0.06,3.99,False,16.36%,False,False,4.47,81.73%
2011-12-31,1.39亿,-84.77%,False,False,32.87亿,-40.85%,False,False,0.0087,4.12,False,4.21%,False,False,4.99,83.30%
2012-12-31,3.08亿,122.20%,False,False,34.31亿,4.37%,False,False,0.02,2.32,False,8.97%,False,False,3.37,77.11%
2013-06-30,1.88亿,False,False,False,14.88亿,False,False,False,0.02,2.43,False,12.64%,False,False,3.38,77.18%
2013-12-31,3.70亿,20.27%,False,False,32.62亿,-4.93%,False,False,0.02,2.50,False,11.35%,False,False,3.78,79.09%
2014-06-30,3.85亿,104.69%,False,False,19.35亿,30.06%,False,False,0.03,2.73,False,19.90%,False,False,4.19,80.73%
2014-12-31,11.18亿,202.19%,False,False,52.28亿,60.31%,0.6700,False,0.02,3.06,False,21.39%,False,False,5.59,84.83%
2015-06-30,11.36亿,195.07%,False,False,42.32亿,118.69%,False,False,False,False,False,26.85%,False,False,False,False
2015-12-31,19.53亿,74.58%,False,False,81.22亿,55.35%,1.1200,False,3.34,1.76,False,24.04%,False,False,4.72,82.53%
2016-06-30,5.75亿,-49.40%,False,False,24.45亿,-42.22%,False,False,3.34,1.98,False,23.51%,False,False,5.31,84.13%
2016-12-31,18.20亿,-6.78%,False,False,73.22亿,-9.85%,0.7600,False,3.34,2.38,False,25.13%,False,False,4.52,81.86%
2017-06-30,11.11亿,93.23%,False,False,43.02亿,75.93%,0.3400,False,5.70,1.48,False,26.25%,False,False,4.74,82.51%
2017-09-30,19.53亿,False,False,False,75.77亿,False,0.5600,False,False,False,False,26.30%,False,False,False,False
2017-12-31,27.66亿,51.98%,26.98亿,False,112.09亿,53.08%,0.7600,8.96,5.70,1.79,-4.15,25.08%,8.82%,7.54%,5.47,84.49%
2018-03-31,7.12亿,False,False,False,27.04亿,False,0.1750,False,False,False,False,26.72%,False,False,False,False
2018-06-30,16.31亿,46.82%,False,False,59.45亿,38.20%,0.3900,False,False,False,False,27.82%,False,False,False,False
2018-09-30,27.21亿,39.29%,False,False,98.33亿,29.78%,False,False,5.92,2.15,False,27.99%,False,False,5.31,84.09%
2018-12-31,34.92亿,26.24%,34.34亿,27.26%,129.14亿,15.21%,0.8300,9.82,5.92,2.18,1.14,27.37%,8.83%,8.28%,5.52,84.61%
2019-03-31,9.09亿,27.68%,False,False,32.41亿,19.87%,0.2130,False,5.92,2.39,False,28.35%,False,False,6.42,86.47%
2019-06-30,18.80亿,15.30%,False,False,69.81亿,17.42%,0.4400,10.10,5.92,2.44,2.30,27.21%,4.40%,4.33%,6.38,86.39%
2019-09-30,31.39亿,15.39%,29.31亿,False,111.94亿,13.84%,0.7400,10.48,5.92,2.74,-2.30,28.28%,7.27%,6.99%,6.18,86.00%
2019-12-31,42.39亿,21.38%,41.56亿,21.03%,157.55亿,22.00%,0.9900,10.83,6.16,2.70,-4.05,26.96%,9.64%,8.78%,6.14,85.93%
2020-03-31,12.77亿,40.55%,10.63亿,False,47.71亿,47.20%,0.2890,11.15,6.16,2.99,6.02,27.02%,2.63%,2.57%,6.88,87.25%
2020-06-30,30.52亿,62.29%,28.04亿,False,104.93亿,50.30%,0.6930,11.52,6.16,3.38,1.52,29.34%,6.20%,6.06%,7.70,88.46%
2020-09-30,48.91亿,55.81%,46.30亿,57.96%,168.01亿,50.09%,1.1100,12.96,6.16,3.80,1.28,29.32%,9.80%,8.64%,7.57,88.28%
2020-12-31,72.07亿,70.04%,69.15亿,66.37%,236.60亿,50.17%,1.5980,13.80,8.19,3.69,-4.40,30.69%,13.52%,10.06%,6.28,86.23%
2021-03-31,18.76亿,46.90%,18.33亿,72.39%,59.33亿,24.37%,0.3700,14.20,8.19,4.07,-2.54,31.65%,2.67%,2.50%,6.68,86.95%
2021-06-30,50.07亿,64.07%,49.52亿,76.61%,144.61亿,37.82%,1.0040,14.56,8.19,4.45,-1.15,34.69%,7.04%,6.35%,6.84,87.22%
2021-09-30,74.54亿,52.39%,74.21亿,60.30%,216.86亿,29.08%,1.4900,15.09,8.19,4.95,2.39,34.46%,10.31%,9.17%,6.80,87.16%
2021-12-31,107.78亿,49.54%,106.53亿,54.06%,301.31亿,27.35%,2.1590,15.73,8.19,5.29,6.62,35.88%,14.64%,12.77%,6.69,86.96%
2022-03-31,16.60亿,-11.49%,16.00亿,-12.69%,50.71亿,-14.53%,0.3200,16.01,8.19,5.62,0.96,32.82%,2.01%,1.85%,6.42,86.49%
2022-06-30,38.42亿,-23.28%,37.64亿,-24.00%,121.32亿,-16.11%,0.7430,16.24,8.19,5.64,4.96,31.73%,4.59%,4.23%,6.49,86.60%
2022-09-30,60.12亿,-19.34%,59.45亿,-19.89%,193.93亿,-10.57%,1.1600,16.91,8.19,6.09,5.73,31.05%,7.11%,6.39%,5.88,85.43%
2022-12-31,75.98亿,-29.51%,75.03亿,-29.56%,260.87亿,-13.42%,1.4590,17.15,8.19,6.08,10.35,29.11%,8.88%,7.66%,5.54,84.67%
2023-03-31,22.57亿,35.95%,21.79亿,36.18%,62.09亿,22.44%,0.4300,17.58,8.19,6.55,-0.39,36.39%,2.50%,2.23%,5.57,84.73%
2023-06-30,35.61亿,-7.31%,35.30亿,-6.22%,124.21亿,2.38%,0.6700,17.81,8.19,6.50,-0.96,28.84%,3.80%,3.48%,5.35,84.21%
2023-09-30,46.08亿,-23.36%,45.63亿,-23.25%,174.66亿,-9.94%,0.8500,17.98,8.19,6.71,-5.39,26.51%,4.84%,4.46%,5.05,83.43%
2023-12-31,61.56亿,-18.97%,61.80亿,-17.64%,229.90亿,-11.87%,1.1380,18.27,8.19,6.80,-2.19,26.81%,6.43%,5.89%,4.97,83.20%
2024-03-31,12.39亿,-45.13%,12.17亿,-44.17%,38.74亿,-37.61%,0.2230,18.55,8.19,7.05,2.65,31.99%,1.21%,1.17%,4.79,82.69%
2024-06-30,22.28亿,-37.43%,21.95亿,-37.82%,89.11亿,-28.26%,0.3940,18.48,8.19,6.91,2.10,25.02%,2.12%,2.11%,4.67,82.32%
2024-09-30,28.58亿,-37.97%,28.39亿,-37.78%,134.49亿,-23.00%,0.4900,18.52,8.19,7.02,5.05,21.26%,2.64%,2.63%,5.02,83.35%
2024-12-31,56.94亿,-7.50%,56.56亿,-8.47%,213.33亿,-7.21%,1.0350,19.15,8.19,7.04,8.67,26.60%,5.52%,4.94%,4.85,82.86%
2025-03-31,20.42亿,64.85%,20.08亿,65.07%,57.21亿,47.69%,0.3820,19.53,8.18,7.45,1.82,35.74%,1.98%,1.74%,4.74,82.55%
2025-06-30,43.30亿,94.35%,42.43亿,93.30%,128.28亿,43.96%,0.8100,19.86,8.18,7.76,6.54,33.79%,4.16%,3.65%,4.89,82.98%
2025-09-30,65.67亿,129.75%,64.86亿,128.46%,207.61亿,54.36%,1.2400,20.22,8.18,8.22,12.99,31.62%,6.29%,5.69%,5.60,84.60%
2025-12-31,97.91亿,71.93%,96.57亿,70.73%,284.81亿,33.50%,1.8800,20.71,8.18,8.55,14.72,34.41%,9.39%,8.02%,5.39,84.11%
2026-03-31,35.77亿,75.19%,35.38亿,76.14%,88.25亿,54.26%,0.7000,21.27,8.18,9.31,5.37,40.81%,3.35%,2.70%,5.52,84.14%
