symbol,name,strategy,total_return,annual_return,sharpe,max_drawdown,win_rate,profit_factor,num_trades,weight
600089,特变电工,trend_following,28.42,5.51,0.519,-9.03,50.0,5.0,8,0.35
600089,特变电工,event_driven,0.0,0.0,0.0,0.0,0.0,0.0,0,0.35
600089,特变电工,value_reversion,-10.09,-2.25,-0.309,-13.04,0.0,0.0,1,0.35
600089,特变电工,buy_hold,-8.46,0.0,0.0,0.0,0.0,0.0,0,0.35
600406,国电南瑞,trend_following,-6.09,-1.34,-0.104,-13.69,38.5,1.03,13,0.18
600406,国电南瑞,event_driven,0.0,0.0,0.0,0.0,0.0,0.0,0,0.18
600406,国电南瑞,value_reversion,-9.51,-2.12,-0.202,-13.8,0.0,0.0,1,0.18
600406,国电南瑞,buy_hold,-41.64,0.0,0.0,0.0,0.0,0.0,0,0.18
000400,许继电气,trend_following,-8.4,-1.86,-0.051,-31.41,27.3,2.19,22,0.22
000400,许继电气,event_driven,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22
000400,许继电气,value_reversion,-5.27,-1.15,-0.048,-24.24,33.3,1.33,3,0.22
000400,许继电气,buy_hold,-15.72,0.0,0.0,0.0,0.0,0.0,0,0.22
601179,中国西电,trend_following,88.25,14.52,0.716,-26.7,42.3,3.03,26,0.28
601179,中国西电,event_driven,0.0,0.0,0.0,0.0,0.0,0.0,0,0.28
601179,中国西电,value_reversion,-12.49,-2.82,-0.251,-20.69,25.0,1.87,4,0.28
601179,中国西电,buy_hold,126.73,0.0,0.0,0.0,0.0,0.0,0,0.28
600312,平高电气,trend_following,-2.01,-0.44,0.062,-28.29,34.4,1.85,32,0.42
600312,平高电气,event_driven,0.0,0.0,0.0,0.0,0.0,0.0,0,0.42
600312,平高电气,value_reversion,5.64,1.18,0.161,-26.99,40.0,1.84,5,0.42
600312,平高电气,buy_hold,124.8,0.0,0.0,0.0,0.0,0.0,0,0.42
002028,思源电气,trend_following,56.09,10.01,0.579,-24.61,45.0,2.06,40,0.38
002028,思源电气,event_driven,0.0,0.0,0.0,0.0,0.0,0.0,0,0.38
002028,思源电气,value_reversion,43.57,8.06,0.586,-21.86,80.0,1.03,5,0.38
002028,思源电气,buy_hold,202.48,0.0,0.0,0.0,0.0,0.0,0,0.38
002270,华明装备,trend_following,110.56,17.3,0.817,-16.35,51.7,3.47,29,0.3
002270,华明装备,event_driven,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3
002270,华明装备,value_reversion,-36.56,-9.29,-0.624,-44.83,0.0,0.0,4,0.3
002270,华明装备,buy_hold,98.74,0.0,0.0,0.0,0.0,0.0,0,0.3
002130,沃尔核材,trend_following,4.04,0.85,0.156,-31.6,33.3,2.12,27,0.45
002130,沃尔核材,event_driven,0.0,0.0,0.0,0.0,0.0,0.0,0,0.45
002130,沃尔核材,value_reversion,4.29,0.9,0.137,-35.56,25.0,2.86,4,0.45
002130,沃尔核材,buy_hold,103.95,0.0,0.0,0.0,0.0,0.0,0,0.45
