code,name,adaptive_current,validation_best,validation_score,validation_sharpe,validation_return,validation_dd,validation_trades,validation_windows,single_window_best,match_adaptive_vs_single,match_adaptive_vs_validation
000157,中联重科,EMA12/26金叉,?,,,,,,,买入并持有,❌,❌
000708,中信特钢,EMA12/26金叉,?,,,,,,,买入并持有,❌,❌
000987,越秀资本,纯MACD,?,,,,,,,纯MACD,✅,❌
002156,通富微电,EMA+OBV,?,,,,,,,买入并持有,❌,❌
002180,奔图科技,纯MACD,?,,,,,,,纯MACD,✅,❌
002318,久立特材,EMA12/26金叉,EMA12/26金叉,48.53,0.424,38.43,-19.24,10.5,4,EMA12/26金叉,✅,✅
002335,科华数据,纯MACD,?,,,,,,,买入并持有,❌,❌
002413,雷科防务,EMA12/26金叉,?,,,,,,,EMA12/26金叉,✅,❌
002466,天齐锂业,EMA+OBV,?,,,,,,,EMA12/26金叉,❌,❌
300014,亿纬锂能,布林带+ATR,?,,,,,,,布林带+ATR,✅,❌
300124,汇川技术,EMA12/26金叉,?,,,,,,,EMA12/26金叉,✅,❌
300285,国瓷材料,纯MACD,?,,,,,,,纯MACD,✅,❌
300719,安达维尔,EMA12/26金叉,?,,,,,,,布林带+ATR,❌,❌
300748,金力永磁,KDJ+CCI,?,,,,,,,EMA12/26金叉,❌,❌
300847,中船汉光,纯MACD,?,,,,,,,纯MACD,✅,❌
600030,中信证券,纯MACD,?,,,,,,,纯MACD,✅,❌
600036,招商银行,KDJ+CCI,?,,,,,,,买入并持有,❌,❌
600160,巨化股份,纯MACD,?,,,,,,,买入并持有,❌,❌
600346,恒力石化,纯MACD,?,,,,,,,买入并持有,❌,❌
600570,恒生电子,EMA12/26金叉,?,,,,,,,EMA12/26金叉,✅,❌
600584,长电科技,纯MACD,?,,,,,,,买入并持有,❌,❌
600660,福耀玻璃,纯MACD,?,,,,,,,买入并持有,❌,❌
601061,中信金属,EMA+OBV,?,,,,,,,买入并持有,❌,❌
601066,中信建投,纯MACD,?,,,,,,,EMA12/26金叉,❌,❌
601100,恒立液压,EMA12/26金叉,?,,,,,,,买入并持有,❌,❌
601865,福莱特,KDJ+CCI,?,,,,,,,EMA+OBV,❌,❌
601995,中金公司,纯MACD,?,,,,,,,KDJ+CCI,❌,❌
603308,应流股份,EMA12/26金叉,?,,,,,,,EMA12/26金叉,✅,❌
605566,福莱蒽特,纯MACD,?,,,,,,,纯MACD,✅,❌
688981,中芯国际,EMA12/26金叉,?,,,,,,,买入并持有,❌,❌
