代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
sh600030,中信证券,27.95,-0.67,-2.341,27.94,27.95,28.62,28.6,28.6,27.89,129621942.0,3651964574.0,15:34:59
sh600036,招商银行,39.2,0.29,0.745,39.18,39.2,38.91,39.18,39.25,38.9,98296005.0,3846185674.0,15:34:59
sh600570,恒生电子,20.78,-0.73,-3.394,20.77,20.78,21.51,21.3,21.38,20.75,20756564.0,436333912.0,15:34:59
sh600584,长电科技,82.9,2.09,2.586,82.89,82.9,80.81,78.02,84.8,78.02,172161393.0,14208029489.0,15:34:59
sh600660,福耀玻璃,55.67,-0.74,-1.312,55.66,55.67,56.41,56.4,56.8,55.57,7724914.0,431949766.0,15:34:59
sh601061,中信金属,10.76,-0.9,-7.719,10.76,10.77,11.66,11.49,11.49,10.75,36501012.0,400644661.0,15:34:59
sh601066,中信建投,26.07,-0.84,-3.122,26.07,26.08,26.91,26.85,26.86,26.0,28495487.0,749843184.0,15:34:59
sh601100,恒立液压,106.79,-0.63,-0.586,106.79,106.89,107.42,105.99,107.49,105.0,5315160.0,565164555.0,15:34:59
sh601865,福莱特,9.4,-0.37,-3.787,9.39,9.4,9.77,9.71,9.83,9.39,15058300.0,144604788.0,15:34:59
sh601995,中金公司,35.61,-1.04,-2.838,35.61,35.62,36.65,36.3,36.45,35.61,22279207.0,801183270.0,15:34:59
sh603308,应流股份,44.1,-1.21,-2.67,44.1,44.12,45.31,43.95,45.49,43.4,15307447.0,682670348.0,15:34:59
sh605566,福莱蒽特,21.7,-1.2,-5.24,21.7,21.79,22.9,22.97,23.33,21.63,3566800.0,79178807.0,15:34:59
sh688981,中芯国际,143.73,-1.36,-0.937,143.72,143.73,145.09,145.31,148.6,142.56,47743275.0,6943302044.0,15:34:59
sz000157,中联重科,7.39,-0.1,-1.335,7.38,7.39,7.49,7.45,7.48,7.35,43840964.0,324504103.0,15:35:15
sz000987,越秀资本,7.54,-0.23,-2.96,7.53,7.54,7.77,7.72,7.77,7.53,33622898.0,256266371.0,15:35:45
sz002156,通富微电,76.64,6.82,9.768,76.64,76.65,69.82,68.03,76.8,68.03,263409653.0,19817875818.0,15:36:00
sz002318,久立特材,18.9,-0.69,-3.522,18.9,18.92,19.59,19.4,19.72,18.48,15502185.0,293055334.0,15:35:45
sz002335,科华数据,29.58,-1.15,-3.742,29.57,29.58,30.73,30.15,30.32,29.51,20024580.0,598718705.0,15:35:45
sz002413,雷科防务,7.6,-0.17,-2.188,7.6,7.61,7.77,7.78,7.95,7.59,56174000.0,437238198.0,15:35:15
sz002466,天齐锂业,43.88,-2.5,-5.39,43.88,43.89,46.38,45.01,45.9,43.88,54985027.0,2460788743.0,15:35:00
sz300014,亿纬锂能,53.96,-1.35,-2.441,53.95,53.96,55.31,54.0,55.59,53.9,44447217.0,2428946651.0,15:35:45
sz300124,汇川技术,59.35,-3.01,-4.827,59.34,59.35,62.36,61.5,61.5,59.35,27304656.0,1645039582.0,15:35:00
sz300285,国瓷材料,57.21,-3.64,-5.982,57.2,57.21,60.85,58.31,60.0,56.39,108409103.0,6290641268.0,15:35:45
sz300719,安达维尔,10.62,-0.1,-0.933,10.61,10.62,10.72,10.6,10.96,10.58,4202700.0,45316211.0,15:35:00
