报告期,候选股票,选中数量,平均评分,平均ROE(%),平均F-Score,选股,评分明细
1992-12-31,3,3,10.7,40.8,4.3,"海尔智家,泸州老窖,万科A",海尔智家(12)|泸州老窖(10)|万科A(10)
1993-06-30,2,2,11.0,44.8,4.5,"海尔智家,泸州老窖",海尔智家(12)|泸州老窖(10)
1993-12-31,0,0,0.0,0.0,0.0,无,
1994-06-30,0,0,0.0,0.0,0.0,无,
1994-12-31,3,3,9.3,23.3,4.7,"格力电器,万科A,山西汾酒",格力电器(14)|万科A(8)|山西汾酒(6)
1995-06-30,3,3,12.0,30.3,5.3,"泸州老窖,格力电器,海尔智家",泸州老窖(14)|格力电器(14)|海尔智家(8)
1995-12-31,4,4,10.0,33.3,4.5,"格力电器,泸州老窖,海尔智家,万科A",格力电器(14)|泸州老窖(10)|海尔智家(10)|万科A(6)
1996-06-30,3,3,8.7,19.9,4.0,"泸州老窖,海尔智家,万科A",泸州老窖(10)|海尔智家(10)|万科A(6)
1996-12-31,4,4,12.5,50.9,5.0,"五粮液,格力电器,海尔智家,泸州老窖",五粮液(14)|格力电器(14)|海尔智家(12)|泸州老窖(10)
1997-06-30,4,4,12.0,45.1,5.0,"五粮液,海尔智家,泸州老窖,万科A",五粮液(14)|海尔智家(14)|泸州老窖(10)|万科A(10)
1997-12-31,4,4,10.5,46.9,4.2,"五粮液,格力电器,泸州老窖,万科A",五粮液(14)|格力电器(12)|泸州老窖(8)|万科A(8)
1998-06-30,3,3,10.0,17.2,4.3,"格力电器,海尔智家,万科A",格力电器(16)|海尔智家(8)|万科A(6)
1998-12-31,3,3,11.3,15.6,5.3,"海尔智家,万科A,格力电器",海尔智家(12)|万科A(12)|格力电器(10)
1999-06-30,3,3,15.3,23.0,6.3,"五粮液,格力电器,海尔智家",五粮液(18)|格力电器(16)|海尔智家(12)
1999-12-31,5,5,10.8,31.5,4.6,"五粮液,格力电器,贵州茅台,海尔智家,万科A",五粮液(14)|格力电器(14)|贵州茅台(10)|海尔智家(8)|万科A(8)
2000-06-30,4,4,12.5,33.9,5.8,"五粮液,贵州茅台,海尔智家,万科A",五粮液(20)|贵州茅台(10)|海尔智家(10)|万科A(10)
2000-12-31,9,5,14.8,31.5,6.4,"格力电器,海尔智家,贵州茅台,招商银行,中信证券",格力电器(16)|海尔智家(16)|贵州茅台(14)|招商银行(14)|中信证券(14)
2001-03-31,8,5,14.8,31.5,6.4,"格力电器,海尔智家,贵州茅台,招商银行,中信证券",格力电器(16)|海尔智家(16)|贵州茅台(14)|招商银行(14)|中信证券(14)
2001-06-30,6,5,11.6,19.8,5.4,"海尔智家,中信证券,五粮液,格力电器,中国石化",海尔智家(16)|中信证券(14)|五粮液(12)|格力电器(8)|中国石化(8)
2001-09-30,4,4,9.5,18.9,5.0,"中信证券,格力电器,中国石化,万科A",中信证券(14)|格力电器(8)|中国石化(8)|万科A(8)
2001-12-31,5,5,11.2,15.3,5.4,"五粮液,中国石化,中国石油,贵州茅台,海尔智家",五粮液(12)|中国石化(12)|中国石油(12)|贵州茅台(10)|海尔智家(10)
2002-03-31,2,2,12.0,15.6,5.5,"五粮液,中国石油",五粮液(12)|中国石油(12)
2002-06-30,4,4,11.0,14.0,6.0,"五粮液,中国石油,格力电器,贵州茅台",五粮液(16)|中国石油(12)|格力电器(10)|贵州茅台(6)
2002-09-30,1,1,12.0,15.1,6.0,中国石油,中国石油(12)
2002-12-31,6,5,10.0,12.4,5.4,"五粮液,中国石油,格力电器,招商银行,万科A",五粮液(12)|中国石油(12)|格力电器(10)|招商银行(8)|万科A(8)
2003-03-31,6,5,11.2,12.7,5.8,"中国石化,中国石油,贵州茅台,五粮液,万科A",中国石化(14)|中国石油(12)|贵州茅台(10)|五粮液(10)|万科A(10)
2003-06-30,8,5,12.4,13.0,6.2,"海螺水泥,格力电器,中国石化,万科A,中国石油",海螺水泥(14)|格力电器(12)|中国石化(12)|万科A(12)|中国石油(12)
2003-09-30,7,5,12.0,13.3,5.8,"格力电器,中国石化,中国石油,贵州茅台,五粮液",格力电器(16)|中国石化(12)|中国石油(12)|贵州茅台(10)|五粮液(10)
2003-12-31,8,5,14.8,16.6,7.0,"海螺水泥,中国石油,万科A,贵州茅台,格力电器",海螺水泥(18)|中国石油(18)|万科A(14)|贵州茅台(12)|格力电器(12)
2004-03-31,8,5,17.2,17.2,8.4,"海螺水泥,贵州茅台,中国石油,中国石化,招商银行",海螺水泥(20)|贵州茅台(18)|中国石油(18)|中国石化(16)|招商银行(14)
2004-06-30,8,5,14.8,18.3,7.2,"中国石油,贵州茅台,五粮液,海螺水泥,招商银行",中国石油(18)|贵州茅台(16)|五粮液(14)|海螺水泥(14)|招商银行(12)
2004-09-30,8,5,16.0,15.3,7.8,"中国石化,中国石油,格力电器,五粮液,山西汾酒",中国石化(18)|中国石油(18)|格力电器(16)|五粮液(14)|山西汾酒(14)
2004-12-31,11,5,14.0,19.8,6.4,"中国石油,万科A,贵州茅台,招商银行,兴业银行",中国石油(20)|万科A(14)|贵州茅台(12)|招商银行(12)|兴业银行(12)
2005-03-31,11,5,17.2,18.8,8.2,"贵州茅台,中国石油,中国石化,万科A,山西汾酒",贵州茅台(20)|中国石油(20)|中国石化(16)|万科A(16)|山西汾酒(14)
2005-06-30,10,5,16.4,21.3,7.2,"中国石油,格力电器,万科A,中国石化,兴业银行",中国石油(20)|格力电器(18)|万科A(18)|中国石化(14)|兴业银行(12)
2005-09-30,10,5,15.6,19.7,7.2,"中国石油,招商银行,贵州茅台,山西汾酒,格力电器",中国石油(20)|招商银行(16)|贵州茅台(14)|山西汾酒(14)|格力电器(14)
2005-12-31,10,5,14.8,21.1,6.6,"格力电器,中国石化,中国石油,贵州茅台,招商银行",格力电器(16)|中国石化(16)|中国石油(16)|贵州茅台(14)|招商银行(12)
2006-03-31,9,5,14.8,20.2,6.8,"贵州茅台,中国石化,中国石油,五粮液,山西汾酒",贵州茅台(18)|中国石化(16)|中国石油(16)|五粮液(12)|山西汾酒(12)
2006-06-30,10,5,15.6,21.9,7.0,"山西汾酒,格力电器,中国石化,中国石油,贵州茅台",山西汾酒(16)|格力电器(16)|中国石化(16)|中国石油(16)|贵州茅台(14)
2006-09-30,10,5,17.6,21.7,8.2,"中国石化,贵州茅台,海螺水泥,泸州老窖,中国石油",中国石化(20)|贵州茅台(18)|海螺水泥(18)|泸州老窖(16)|中国石油(16)
2006-12-31,13,5,19.2,23.1,8.0,"格力电器,中国石化,海螺水泥,贵州茅台,山西汾酒",格力电器(20)|中国石化(20)|海螺水泥(20)|贵州茅台(18)|山西汾酒(18)
2007-03-31,11,5,17.2,19.0,8.0,"中国石化,格力电器,泸州老窖,山西汾酒,海尔智家",中国石化(20)|格力电器(18)|泸州老窖(16)|山西汾酒(16)|海尔智家(16)
2007-06-30,13,5,17.6,23.7,7.6,"贵州茅台,山西汾酒,格力电器,五粮液,海螺水泥",贵州茅台(20)|山西汾酒(18)|格力电器(18)|五粮液(16)|海螺水泥(16)
2007-09-30,11,5,16.0,26.9,6.6,"贵州茅台,格力电器,中信证券,泸州老窖,山西汾酒",贵州茅台(18)|格力电器(18)|中信证券(16)|泸州老窖(14)|山西汾酒(14)
2007-12-31,16,5,18.0,33.7,7.4,"美的集团,贵州茅台,泸州老窖,招商银行,山西汾酒",美的集团(20)|贵州茅台(18)|泸州老窖(18)|招商银行(18)|山西汾酒(16)
2008-03-31,15,5,16.4,36.9,7.2,"泸州老窖,招商银行,五粮液,贵州茅台,洋河股份",泸州老窖(20)|招商银行(18)|五粮液(16)|贵州茅台(14)|洋河股份(14)
2008-06-30,15,5,15.6,52.3,6.6,"贵州茅台,格力电器,泸州老窖,洋河股份,海康威视",贵州茅台(18)|格力电器(18)|泸州老窖(14)|洋河股份(14)|海康威视(14)
2008-09-30,11,5,16.4,40.3,7.4,"山西汾酒,泸州老窖,中国石油,海康威视,招商银行",山西汾酒(20)|泸州老窖(18)|中国石油(16)|海康威视(14)|招商银行(14)
2008-12-31,13,5,15.2,34.3,6.2,"海康威视,立讯精密,美的集团,格力电器,海尔智家",海康威视(18)|立讯精密(16)|美的集团(14)|格力电器(14)|海尔智家(14)
2009-03-31,13,5,15.2,25.6,6.6,"山西汾酒,立讯精密,五粮液,美的集团,格力电器",山西汾酒(18)|立讯精密(16)|五粮液(14)|美的集团(14)|格力电器(14)
2009-06-30,13,5,15.6,31.0,6.6,"贵州茅台,格力电器,立讯精密,泸州老窖,山西汾酒",贵州茅台(18)|格力电器(16)|立讯精密(16)|泸州老窖(14)|山西汾酒(14)
2009-09-30,16,5,16.8,35.7,7.0,"山西汾酒,贵州茅台,泸州老窖,洋河股份,美的集团",山西汾酒(20)|贵州茅台(18)|泸州老窖(18)|洋河股份(14)|美的集团(14)
2009-12-31,16,5,17.6,30.7,7.0,"五粮液,泸州老窖,格力电器,兴业银行,洋河股份",五粮液(18)|泸州老窖(18)|格力电器(18)|兴业银行(18)|洋河股份(16)
2010-03-31,16,5,16.4,29.4,6.8,"五粮液,贵州茅台,山西汾酒,泸州老窖,洋河股份",五粮液(20)|贵州茅台(18)|山西汾酒(16)|泸州老窖(14)|洋河股份(14)
2010-06-30,16,5,16.8,25.2,6.8,"贵州茅台,美的集团,海尔智家,中国石化,五粮液",贵州茅台(20)|美的集团(18)|海尔智家(16)|中国石化(16)|五粮液(14)
2010-09-30,16,5,17.6,28.9,7.6,"山西汾酒,五粮液,美的集团,泸州老窖,中国石化",山西汾酒(20)|五粮液(18)|美的集团(18)|泸州老窖(16)|中国石化(16)
2010-12-31,18,5,17.2,29.7,7.4,"美的集团,兴业银行,格力电器,隆基绿能,海螺水泥",美的集团(20)|兴业银行(18)|格力电器(16)|隆基绿能(16)|海螺水泥(16)
2011-03-31,17,5,18.4,29.8,8.2,"洋河股份,海螺水泥,山西汾酒,海尔智家,五粮液",洋河股份(20)|海螺水泥(20)|山西汾酒(18)|海尔智家(18)|五粮液(16)
