代码,名称,本周开盘,本周最高,本周最低,本周收盘,周涨跌幅%,周振幅%,周成交量(万手),周成交额(亿),上涨天数,下跌天数,交易日数
000568,泸州老窖,75.0,85.62,74.03,82.46,9.95,15.45,10684.74,858989.62,4,2,6
002594,比亚迪,86.84,95.95,84.88,93.47,7.63,12.75,34896.96,3173066.76,4,2,6
600660,福耀玻璃,50.58,54.39,49.86,53.88,6.52,8.96,8336.81,435169.7,5,1,6
600519,贵州茅台,1182.2,1269.33,1170.28,1253.0,5.99,8.38,3156.95,3880798.32,5,1,6
000858,五粮液,68.71,75.06,68.3,72.76,5.9,9.83,27029.14,1991508.01,4,2,6
600887,伊利股份,24.8,26.44,24.38,26.11,5.28,8.31,38770.34,987281.87,6,0,6
000333,美的集团,79.14,83.45,77.86,82.71,4.51,7.06,23649.27,1920436.18,4,2,6
600036,招商银行,36.61,38.2,36.33,38.02,3.85,5.11,56111.2,2099645.73,4,2,6
600900,长江电力,26.97,28.19,26.83,27.99,3.77,5.05,101545.9,2866233.38,5,1,6
601318,中国平安,49.47,51.45,48.5,50.7,2.49,5.96,56331.62,2820733.17,4,2,6
601012,隆基绿能,11.89,12.42,11.41,11.75,-1.18,8.49,66732.87,792473.01,3,3,6
603501,韦尔股份,105.94,113.77,98.35,104.12,-1.72,14.56,27878.26,3001993.33,2,4,6
300719,安达维尔,11.14,11.84,10.4,10.84,-2.69,12.93,2455.1,27097.77,4,2,6
300059,东方财富,20.4,20.5,19.19,19.7,-3.43,6.42,208077.69,4153340.16,1,5,6
600030,中信证券,28.6,28.83,27.4,27.6,-3.5,5.0,99878.92,2810369.39,1,5,6
300750,宁德时代,375.0,379.99,346.16,360.0,-4.0,9.02,25780.51,9368718.51,3,3,6
002466,天齐锂业,49.0,50.98,44.75,46.99,-4.1,12.71,40885.28,1949437.48,3,3,6
601865,福莱特,9.44,10.06,8.98,9.0,-4.66,11.44,11748.92,110332.23,3,3,6
600570,恒生电子,21.08,21.95,20.04,20.06,-4.84,9.06,17220.03,358594.04,3,3,6
002415,海康威视,35.2,35.86,32.82,33.15,-5.82,8.64,50701.29,1724941.93,3,3,6
002156,通富微电,74.0,84.7,68.36,68.36,-7.62,22.08,139153.45,10464780.14,3,3,6
002475,立讯精密,64.38,65.66,57.09,58.05,-9.83,13.31,78283.8,4781542.39,2,4,6
300274,阳光电源,123.17,123.8,100.2,101.61,-17.5,19.16,44356.9,4841697.25,2,4,6
603308,应流股份,54.02,56.43,43.59,44.34,-17.92,23.77,13109.43,663308.77,1,5,6
688981,中芯国际,173.0,176.34,139.02,139.88,-19.14,21.57,60782.06,9658436.81,1,5,6
600584,长电科技,108.88,113.87,77.71,85.49,-21.48,33.21,150379.17,14528462.02,2,4,6
002371,北方华创,886.46,905.0,660.01,677.0,-23.63,27.64,9479.82,7257124.71,1,5,6
688012,中微公司,471.59,492.05,341.86,350.69,-25.64,31.85,20512.33,8284079.31,0,6,6
300285,国瓷材料,80.5,84.82,55.75,56.62,-29.66,36.11,51732.96,3568058.93,1,5,6
688008,澜起科技,291.51,297.96,182.36,183.6,-37.02,39.66,47072.28,11345646.82,1,5,6
