代码,名称,本周开盘,本周最高,本周最低,本周收盘,周涨跌幅%,周振幅%,周成交量(万手),周成交额(亿),上涨天数,下跌天数
600660,福耀玻璃,50.58,54.39,49.86,53.88,6.52,8.96,8336.81,435169.7,5,1
000708,中信特钢,12.69,13.85,12.54,13.39,5.52,10.32,8713.03,115754.87,4,2
600036,招商银行,36.61,38.2,36.33,38.02,3.85,5.11,56111.2,2099645.73,4,2
000157,中联重科,7.1,7.42,6.94,7.19,1.27,6.76,35621.09,256318.68,3,3
300719,安达维尔,11.14,11.84,10.4,10.84,-2.69,12.93,2455.1,27097.77,4,2
600030,中信证券,28.6,28.83,27.4,27.6,-3.5,5.0,99878.92,2810369.39,1,5
601100,恒立液压,107.82,113.49,103.18,103.51,-4.0,9.56,4693.59,507498.5,3,3
002466,天齐锂业,49.0,50.98,44.75,46.99,-4.1,12.71,40885.28,1949437.48,3,3
601865,福莱特,9.44,10.06,8.98,9.0,-4.66,11.44,11748.92,110332.23,3,3
601995,中金公司,37.12,38.8,34.75,35.38,-4.69,10.91,27500.84,1003842.95,2,4
600570,恒生电子,21.08,21.95,20.04,20.06,-4.84,9.06,17220.03,358594.04,3,3
300827,上能电气,25.15,25.55,23.5,23.65,-5.96,8.15,6222.56,151706.17,3,3
000987,越秀资本,7.95,8.37,7.45,7.47,-6.04,11.57,27738.33,215614.35,2,4
600346,恒力石化,16.1,16.1,14.76,15.06,-6.46,8.32,31974.3,491164.55,1,5
002318,久立特材,19.46,19.5,17.12,18.17,-6.63,12.23,9424.17,172535.97,2,4
601061,中信金属,10.62,11.0,9.86,9.9,-6.79,10.71,9413.65,98886.23,2,4
002156,通富微电,74.0,84.7,68.36,68.36,-7.62,22.08,139153.45,10464780.14,3,3
300124,汇川技术,64.48,65.9,58.57,59.12,-8.31,11.37,19139.73,1172909.15,1,5
601066,中信建投,29.04,29.06,25.6,26.5,-8.75,11.91,26497.77,723277.86,2,4
300748,金力永磁,28.8,29.74,25.05,25.16,-12.64,16.28,16096.05,438065.27,2,4
600160,巨化股份,45.97,46.97,38.81,39.13,-14.88,17.75,38430.28,1629496.3,1,5
002413,雷科防务,8.95,9.89,7.51,7.6,-15.08,26.59,51175.67,447260.91,1,5
002335,科华数据,35.6,37.89,29.6,29.75,-16.43,23.29,14944.55,504497.67,2,4
605566,福莱蒽特,28.39,29.67,23.48,23.7,-16.51,21.81,2469.66,66317.22,2,4
603308,应流股份,54.02,56.43,43.59,44.34,-17.92,23.77,13109.43,663308.77,1,5
688981,中芯国际,173.0,176.34,139.02,139.88,-19.14,21.57,60782.06,9658436.81,1,5
600584,长电科技,108.88,113.87,77.71,85.49,-21.48,33.21,150379.17,14528462.02,2,4
300285,国瓷材料,80.5,84.82,55.75,56.62,-29.66,36.11,51732.96,3568058.93,1,5
